CASRN,Substance name,HSNO code,HSNO classification text,GHS translation
100-02-7,4-Nitrophenol,6.9B (oral),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
100-02-7,4-Nitrophenol,9.1D (algal),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic)
100-02-7,4-Nitrophenol,9.1D (crustacean),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic)
100-02-7,4-Nitrophenol,9.1D (fish),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic)
100-02-7,4-Nitrophenol,9.2D,Slightly harmful in the soil environment,
100-02-7,4-Nitrophenol,9.3B,Ecotoxic to terrestrial vertebrates,
100-06-1,4'-Methoxyacetophenone,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
100-06-1,4'-Methoxyacetophenone,9.3C,Harmful to terrestrial vertebrates,
100-07-2,4-Methoxybenzoyl chloride,6.1E (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 5
100-07-2,4-Methoxybenzoyl chloride,8.2C,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1C
100-07-2,4-Methoxybenzoyl chloride,8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1
100-11-8,4-Nitrobenzyl bromide,6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
100-11-8,4-Nitrobenzyl bromide,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
100-11-8,4-Nitrobenzyl bromide,6.5B (contact),Contact sensitisers,GHS: Skin sensitization - Category 1
100-14-1,4-Nitrobenzyl chloride,8.2C,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1C
100-14-1,4-Nitrobenzyl chloride,8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1
100-16-3,(4-Nitrophenyl)hydrazine,4.1.1B,Readily combustible solids and solids that may cause fire through friction: low hazard,GHS: Flammable solids - Category 2
100-19-6,4'-Nitroacetophenone,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
100-19-6,4'-Nitroacetophenone,9.3C,Harmful to terrestrial vertebrates,
100-20-9,Terephthaloyl dichloride,6.1C (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 3
100-20-9,Terephthaloyl dichloride,8.2C,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1C
100-20-9,Terephthaloyl dichloride,8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1
100-20-9,Terephthaloyl dichloride,9.3B,Ecotoxic to terrestrial vertebrates,
100-22-1,Tetramethyl-p-phenylenediamine,6.1D (dermal),Acutely toxic,GHS: Acute toxicity: Dermal - Category 4
100-22-1,Tetramethyl-p-phenylenediamine,6.1D (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 4
100-22-1,Tetramethyl-p-phenylenediamine,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
100-22-1,Tetramethyl-p-phenylenediamine,9.3C,Harmful to terrestrial vertebrates,
100-25-4,"1,4-Dinitrobenzene",6.1B (dermal),Acutely toxic,GHS: Acute toxicity: Dermal - Category 2
100-25-4,"1,4-Dinitrobenzene",6.1B (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 2
100-25-4,"1,4-Dinitrobenzene",6.1B (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 2
100-25-4,"1,4-Dinitrobenzene",6.9B (oral),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
100-25-4,"1,4-Dinitrobenzene",9.1A (algal),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
100-25-4,"1,4-Dinitrobenzene",9.1A (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
100-25-4,"1,4-Dinitrobenzene",9.1A (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
100-25-4,"1,4-Dinitrobenzene",9.3A,Very ecotoxic to terrestrial vertebrates,
100-26-5,Isocinchomeronic acid,6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
100-26-5,Isocinchomeronic acid,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
100-36-7,2-Aminoethyldiethylamine,6.1D (dermal),Acutely toxic,GHS: Acute toxicity: Dermal - Category 4
100-36-7,2-Aminoethyldiethylamine,6.1D (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 4
100-36-7,2-Aminoethyldiethylamine,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
100-36-7,2-Aminoethyldiethylamine,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
100-36-7,2-Aminoethyldiethylamine,8.2B,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1B
100-36-7,2-Aminoethyldiethylamine,9.3C,Harmful to terrestrial vertebrates,
100-37-8,2-Diethylaminoethanol,3.1C,Flammable Liquids: medium hazard,GHS: Flammable liquids - Category 3
100-37-8,2-Diethylaminoethanol,6.1D (dermal),Acutely toxic,GHS: Acute toxicity: Dermal - Category 4
100-37-8,2-Diethylaminoethanol,6.1D (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 4
100-37-8,2-Diethylaminoethanol,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
100-37-8,2-Diethylaminoethanol,8.2C,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1C
100-37-8,2-Diethylaminoethanol,8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1
100-37-8,2-Diethylaminoethanol,9.1D (algal),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic)
100-37-8,2-Diethylaminoethanol,9.1D (crustacean),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic)
100-37-8,2-Diethylaminoethanol,9.3C,Harmful to terrestrial vertebrates,
100-38-9,2-(Diethylamino)ethanethiol,3.1C,Flammable Liquids: medium hazard,GHS: Flammable liquids - Category 3
100-38-9,2-(Diethylamino)ethanethiol,6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
100-38-9,2-(Diethylamino)ethanethiol,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
100-39-0,Benzyl bromide,6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
100-39-0,Benzyl bromide,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
100-41-4,"Benzene, ethyl-",3.1B,Flammable Liquids: high hazard,GHS: Flammable liquids - Category 2
100-41-4,"Benzene, ethyl-",6.1D (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 4
100-41-4,"Benzene, ethyl-",6.1E (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 5
100-41-4,"Benzene, ethyl-",6.3B,Mildly irritating to the skin,GHS: Skin corrosion/irritation - Category 3
100-41-4,"Benzene, ethyl-",6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
100-41-4,"Benzene, ethyl-",6.7B,Suspected human carcinogens,GHS: Carcinogenicity - Category 2
100-41-4,"Benzene, ethyl-",6.8B,Suspected human reproductive or developmental toxicants,GHS: Reproductive toxicity - Category 2
100-41-4,"Benzene, ethyl-",6.9B (inhalation),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
100-41-4,"Benzene, ethyl-",9.1D (algal),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic)
100-41-4,"Benzene, ethyl-",9.1D (crustacean),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic)
100-41-4,"Benzene, ethyl-",9.1D (fish),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic)
100-41-4,"Benzene, ethyl-",9.2D,Slightly harmful in the soil environment,
100-42-5,"Benzene, ethenyl-",3.1C,Flammable Liquids: medium hazard,GHS: Flammable liquids - Category 3
100-42-5,"Benzene, ethenyl-",6.1C (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 3
100-42-5,"Benzene, ethenyl-",6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
100-42-5,"Benzene, ethenyl-",6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
100-42-5,"Benzene, ethenyl-",6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
100-42-5,"Benzene, ethenyl-",6.6B,Suspected human mutagens,GHS: Germ cell mutagenicity - Category 2
100-42-5,"Benzene, ethenyl-",6.7B,Suspected human carcinogens,GHS: Carcinogenicity - Category 2
100-42-5,"Benzene, ethenyl-",6.8B,Suspected human reproductive or developmental toxicants,GHS: Reproductive toxicity - Category 2
100-42-5,"Benzene, ethenyl-",6.9A (inhalation),Toxic to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 1
100-42-5,"Benzene, ethenyl-",9.1A (algal),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
100-42-5,"Benzene, ethenyl-",9.1B (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 2
100-42-5,"Benzene, ethenyl-",9.1D (fish),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic)
100-42-5,"Benzene, ethenyl-",9.3B,Ecotoxic to terrestrial vertebrates,
100-43-6,4-Vinylpyridine,3.1C,Flammable Liquids: medium hazard,GHS: Flammable liquids - Category 3
100-43-6,4-Vinylpyridine,6.1C (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 3
100-43-6,4-Vinylpyridine,8.2C,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1C
100-43-6,4-Vinylpyridine,8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1
100-43-6,4-Vinylpyridine,9.3B,Ecotoxic to terrestrial vertebrates,
100-44-7,Benzyl chloride,4.3B,Solids that emit flammable gas when in contact with water: medium hazard,"GHS: Substances and mixtures, which in contact with water, emit flammable gases - Category 2"
100-44-7,Benzyl chloride,6.1B (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 2
100-44-7,Benzyl chloride,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
100-44-7,Benzyl chloride,6.7A,Known or presumed human carcinogens,GHS: Carcinogenicity - Category 1
100-44-7,Benzyl chloride,6.9A (oral),Toxic to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 1
100-44-7,Benzyl chloride,8.2B,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1B
100-44-7,Benzyl chloride,8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1
100-46-9,Benzylamine,6.1D (dermal),Acutely toxic,GHS: Acute toxicity: Dermal - Category 4
100-46-9,Benzylamine,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
100-46-9,Benzylamine,8.2C,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1C
100-46-9,Benzylamine,8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1
100-46-9,Benzylamine,9.3C,Harmful to terrestrial vertebrates,
100-47-0,Benzonitrile,6.1D (dermal),Acutely toxic,GHS: Acute toxicity: Dermal - Category 4
100-47-0,Benzonitrile,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
100-47-0,Benzonitrile,9.3C,Harmful to terrestrial vertebrates,
100-48-1,4-Pyridinecarbonitrile,6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
100-48-1,4-Pyridinecarbonitrile,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
100-51-6,Benzenemethanol,6.1D (dermal),Acutely toxic,GHS: Acute toxicity: Dermal - Category 4
100-51-6,Benzenemethanol,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
100-51-6,Benzenemethanol,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
100-51-6,Benzenemethanol,6.5B (contact),Contact sensitisers,GHS: Skin sensitization - Category 1
100-51-6,Benzenemethanol,9.1D (crustacean),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic)
100-51-6,Benzenemethanol,9.1D (fish),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic)
100-51-6,Benzenemethanol,9.2B,Ecotoxic in the soil environment,
100-51-6,Benzenemethanol,9.3C,Harmful to terrestrial vertebrates,
100-52-7,Benzaldehyde,3.1C,Flammable Liquids: medium hazard,GHS: Flammable liquids - Category 3
100-52-7,Benzaldehyde,6.1D (dermal),Acutely toxic,GHS: Acute toxicity: Dermal - Category 4
100-52-7,Benzaldehyde,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
100-52-7,Benzaldehyde,6.3B,Mildly irritating to the skin,GHS: Skin corrosion/irritation - Category 3
100-52-7,Benzaldehyde,6.5B (contact),Contact sensitisers,GHS: Skin sensitization - Category 1
100-52-7,Benzaldehyde,9.1D (fish),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic)
100-52-7,Benzaldehyde,9.2D,Slightly harmful in the soil environment,
100-52-7,Benzaldehyde,9.3C,Harmful to terrestrial vertebrates,
100-53-8,Benzyl mercaptan,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
100-53-8,Benzyl mercaptan,9.1A (algal),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
100-53-8,Benzyl mercaptan,9.1A (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
100-53-8,Benzyl mercaptan,9.1A (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
100-53-8,Benzyl mercaptan,9.3C,Harmful to terrestrial vertebrates,
100-54-9,3-Pyridinecarbonitrile,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
100-54-9,3-Pyridinecarbonitrile,6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
100-54-9,3-Pyridinecarbonitrile,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
100-54-9,3-Pyridinecarbonitrile,9.3C,Harmful to terrestrial vertebrates,
100-55-0,3-Pyridylmethanol,6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
100-55-0,3-Pyridylmethanol,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
100-56-1,Phenylmercuric chloride,6.1A (dermal),Acutely toxic,GHS: Acute toxicity: Dermal - Category 1
100-56-1,Phenylmercuric chloride,6.1A (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 1
100-56-1,Phenylmercuric chloride,6.1A (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 1
100-56-1,Phenylmercuric chloride,6.9B (dermal),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
100-56-1,Phenylmercuric chloride,6.9B (inhalation),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
100-56-1,Phenylmercuric chloride,6.9B (oral),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
100-56-1,Phenylmercuric chloride,9.1A (algal),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
100-56-1,Phenylmercuric chloride,9.1A (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
100-56-1,Phenylmercuric chloride,9.1A (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
100-56-1,Phenylmercuric chloride,9.3A,Very ecotoxic to terrestrial vertebrates,
100-57-2,Phenylmercury hydroxide,6.1A (dermal),Acutely toxic,GHS: Acute toxicity: Dermal - Category 1
100-57-2,Phenylmercury hydroxide,6.1B (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 2
100-57-2,Phenylmercury hydroxide,6.1B (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 2
100-57-2,Phenylmercury hydroxide,6.9B (oral),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
100-57-2,Phenylmercury hydroxide,9.1A (algal),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
100-57-2,Phenylmercury hydroxide,9.1A (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
100-57-2,Phenylmercury hydroxide,9.1A (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
100-57-2,Phenylmercury hydroxide,9.3A,Very ecotoxic to terrestrial vertebrates,
100-60-7,Cyclohexyl(methyl)amine,3.1C,Flammable Liquids: medium hazard,GHS: Flammable liquids - Category 3
100-60-7,Cyclohexyl(methyl)amine,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
100-60-7,Cyclohexyl(methyl)amine,8.2C,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1C
100-60-7,Cyclohexyl(methyl)amine,8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1
100-60-7,Cyclohexyl(methyl)amine,9.3C,Harmful to terrestrial vertebrates,
100-61-8,Methylaniline,6.1C (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 3
100-61-8,Methylaniline,6.9B (dermal),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
100-61-8,Methylaniline,6.9B (inhalation),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
100-61-8,Methylaniline,6.9B (oral),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
100-61-8,Methylaniline,9.1A (algal),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
100-61-8,Methylaniline,9.1A (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
100-61-8,Methylaniline,9.1A (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
100-61-8,Methylaniline,9.3B,Ecotoxic to terrestrial vertebrates,
100-63-0,Phenylhydrazine,6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
100-63-0,Phenylhydrazine,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
100-63-0,Phenylhydrazine,6.5B (contact),Contact sensitisers,GHS: Skin sensitization - Category 1
100-63-0,Phenylhydrazine,6.6B,Suspected human mutagens,GHS: Germ cell mutagenicity - Category 2
100-63-0,Phenylhydrazine,6.7A,Known or presumed human carcinogens,GHS: Carcinogenicity - Category 1
100-63-0,Phenylhydrazine,6.9A (dermal),Toxic to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 1
100-63-0,Phenylhydrazine,6.9A (inhalation),Toxic to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 1
100-63-0,Phenylhydrazine,6.9A (oral),Toxic to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 1
100-63-0,Phenylhydrazine,9.1A (algal),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
100-63-0,Phenylhydrazine,9.1A (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
100-63-0,Phenylhydrazine,9.1A (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1
100-64-1,Cyclohexanone oxime,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
100-64-1,Cyclohexanone oxime,9.3C,Harmful to terrestrial vertebrates,
100-66-3,"Benzene, methoxy-",3.1C,Flammable Liquids: medium hazard,GHS: Flammable liquids - Category 3
100-66-3,"Benzene, methoxy-",6.1C (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 3
100-66-3,"Benzene, methoxy-",6.1E (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 5
100-66-3,"Benzene, methoxy-",6.3B,Mildly irritating to the skin,GHS: Skin corrosion/irritation - Category 3
100-66-3,"Benzene, methoxy-",6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
100-66-3,"Benzene, methoxy-",9.1D (crustacean),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic)
100-66-3,"Benzene, methoxy-",9.2D,Slightly harmful in the soil environment,
100-68-5,Methyl phenyl sulphide,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
100-68-5,Methyl phenyl sulphide,9.3C,Harmful to terrestrial vertebrates,
100-69-6,2-Vinylpyridine (stabilized with 4-t-butylpyrocatechol),3.1C,Flammable Liquids: medium hazard,GHS: Flammable liquids - Category 3
100-69-6,2-Vinylpyridine (stabilized with 4-t-butylpyrocatechol),6.1B (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 2
100-69-6,2-Vinylpyridine (stabilized with 4-t-butylpyrocatechol),6.1D (dermal),Acutely toxic,GHS: Acute toxicity: Dermal - Category 4
100-69-6,2-Vinylpyridine (stabilized with 4-t-butylpyrocatechol),6.1D (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 4
100-69-6,2-Vinylpyridine (stabilized with 4-t-butylpyrocatechol),8.2C,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1C
100-69-6,2-Vinylpyridine (stabilized with 4-t-butylpyrocatechol),8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1
100-69-6,2-Vinylpyridine (stabilized with 4-t-butylpyrocatechol),9.3A,Very ecotoxic to terrestrial vertebrates,
100-70-9,2-Pyridinecarbonitrile,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
100-70-9,2-Pyridinecarbonitrile,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
100-70-9,2-Pyridinecarbonitrile,9.3C,Harmful to terrestrial vertebrates,
100-71-0,2-Ethylpyridine,3.1C,Flammable Liquids: medium hazard,GHS: Flammable liquids - Category 3
100-71-0,2-Ethylpyridine,6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
100-71-0,2-Ethylpyridine,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
100-73-2,"2H-Pyran-2-carboxaldehyde, 3,4-dihydro-",3.1C,Flammable Liquids: medium hazard,GHS: Flammable liquids - Category 3
100-73-2,"2H-Pyran-2-carboxaldehyde, 3,4-dihydro-",6.1E (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 5
100-73-2,"2H-Pyran-2-carboxaldehyde, 3,4-dihydro-",6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2
100-73-2,"2H-Pyran-2-carboxaldehyde, 3,4-dihydro-",6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
100-73-2,"2H-Pyran-2-carboxaldehyde, 3,4-dihydro-",6.6B,Suspected human mutagens,GHS: Germ cell mutagenicity - Category 2
100-73-2,"2H-Pyran-2-carboxaldehyde, 3,4-dihydro-",9.1C (crustacean),Harmful in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 3
100-73-2,"2H-Pyran-2-carboxaldehyde, 3,4-dihydro-",9.1C (fish),Harmful in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 3
100-74-3,4-Ethylmorpholine,3.1C,Flammable Liquids: medium hazard,GHS: Flammable liquids - Category 3
100-74-3,4-Ethylmorpholine,6.1D (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 4
100-74-3,4-Ethylmorpholine,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
100-85-6,Benzyltrimethylammonium hydroxide,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
100-85-6,Benzyltrimethylammonium hydroxide,8.2C,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1C
100-86-7,2-Methyl-1-phenyl-2-propanol,6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4
100-86-7,2-Methyl-1-phenyl-2-propanol,9.3C,Harmful to terrestrial vertebrates,
100-97-0,"1,3,5,7-Tetraazatricyclo[3.3.1.13,7]decane",4.1.1B,Readily combustible solids and solids that may cause fire through friction: low hazard,GHS: Flammable solids - Category 2
