CASRN,Substance name,HSNO code,HSNO classification text,GHS translation,Key study
_v0_10035-10-6,"Hydrobromic acid, 47-60% aqueous solution",6.1B (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 2,"Inhalation Form:vapour<br/> SPECIES: Mouse
ENDPOINT: LC50
VALUE: 1.35 mg/l
REFERENCE SOURCE: Lewis, R.J. Saxs Dangerous Properties of Industrial Materials. 9th ed. Volumes 1-3. New York, NY: Van Nostrand Reinhold, 1996. 1834 **PEER REVIEWED** [HSDB]

REMARK: 407 ppm = 1347 mg/m3 = 1.35 mg/l
"
_v0_10035-10-6,"Hydrobromic acid, 47-60% aqueous solution",6.9A (inhalation),Toxic to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 1,"EndPoint: 
Primary Organ: 
Inhalation of hydrogen bromide causes irritation of the upper respiratory tract, and a concentration of about 35 ppm causes irritation of the throat after short exposure.  More severe exposures result in pulmonary edema, and often in laryngeal spasm. [Peer Reviewed] [Braker W, Mossman A; Matheson Gas Data Book 6th Ed p.372 (1980)][HSDB]

Remark: Highly toxic /gas/[HBr]... being severely irritating to upper respiratory tract. The.../acid/ formed neutralizes the alkali of tissues and can cause death as a result of edema or spasm of larynx and inflammation of upper respiratory system. Concentrations of 0.13-0.2% are lethal...in exposures lasting a few minutes.
Source: Eurobrom B.V. Rijswijk
(13) National Research Council. Prudent Practices for Handling Hazardous Chemicals in Laboratories. Washington, DC: National Academy Press, 1981. 98. [IUCLID 2000]
"
_v0_10035-10-6,"Hydrobromic acid, 47-60% aqueous solution",8.1A,Corrosive to metals,GHS: Corrosive to metals - Category 1,"Strong oxidizers, strong caustics, moisture, copper, brass, zinc (Note: Hydrobromic acid is highly corrosive to most metals). [NIOSH. NIOSH Pocket Guide to Chemical Hazards. DHHS (NIOSH) Publication No. 97-140. Washington, D.C. U.S. Government Printing Office, 1997. 166]**PEER REVIEWED*[HSDB]*"
_v0_10035-10-6,"Hydrobromic acid, 47-60% aqueous solution",8.2B,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1B,"R PHRASE: R 35 [IUCLID 2000]
"
_v0_10035-10-6,"Hydrobromic acid, 47-60% aqueous solution",8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1,"SPECIES: 
RESULT: Severe irritant
REFERENCE SOURCE: National Research Council. Prudent Practices for Handling Hazardous Chemicals in Laboratories. Washington, DC: National Academy Press, 1981. 98 [HSDB]

"
_v0_10035-10-6,"Hydrobromic acid, 47-60% aqueous solution",9.3C,Harmful to terrestrial vertebrates,,EXPERT JUDGEMENT: Classification based on corrosive properties.
_v1_10035-10-6,"Hydrogen bromide, >26% in a non hazardous diluent",6.1B (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 2,"Inhalation Form:<br/> Classification based on the parent record and mixture rules.
"
_v1_10035-10-6,"Hydrogen bromide, >26% in a non hazardous diluent",6.9A (inhalation),Toxic to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 1,"EndPoint: 
Primary Organ: 
Classification based on pure substances, mixture rule & point estimates"
_v1_10035-10-6,"Hydrogen bromide, >26% in a non hazardous diluent",8.1A,Corrosive to metals,GHS: Corrosive to metals - Category 1,
_v1_10035-10-6,"Hydrogen bromide, >26% in a non hazardous diluent",8.2B,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1B,"Classification based on the pure chemical classification and mixture rules. 
"
_v1_10035-10-6,"Hydrogen bromide, >26% in a non hazardous diluent",8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1,"Classification based on the pure chemical classification and mixture rules. 
"
_v1_10035-10-6,"Hydrogen bromide, >26% in a non hazardous diluent",9.3C,Harmful to terrestrial vertebrates,,"Classification based on the pure chemical classification and mixture rules. 
"
_v0_10043-01-3,"Aluminium sulphate, >25% in a non hazardous diluent",6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4,"CROSS REFERENCE: Aluminium sulphate Cas #10043-01-3

SPECIES: Mouse
ENDPOINT: LD50
VALUE: 770 mg/kg 
REFERENCE SOURCE: U.S. Coast Guard, Department of Transportation. CHRIS - Hazardous Chemical Data. Volume II. Washington, D.C.: U.S. Government Printing Office, 1984-5.]**PEER REVIEWED** [HSDB]"
_v0_10043-01-3,"Aluminium sulphate, >25% in a non hazardous diluent",6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2,"CROSS REFERENCE: Aluminium sulphate Cas #10043-01-3

R-PHRASE: R 38 [SIGMA-ALDRICH]"
_v0_10043-01-3,"Aluminium sulphate, >25% in a non hazardous diluent",6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2,"CROSS REFERENCE: Aluminium sulphate Cas #10043-01-3

R-PHRASE: R 41[SIGMA-ALDRICH]
"
_v0_10043-01-3,"Aluminium sulphate, >25% in a non hazardous diluent",8.1A,Corrosive to metals,GHS: Corrosive to metals - Category 1,"CROSS REFERENCE: Aluminium sulphate Cas #10043-01-3

Corrosivity: 
Aluminum sulfate solution is corrosive to aluminum. 
[Bureau of Explosives; Emergency Handling of Haz Matl in Surface Trans p.21 (1981)]**PEER REVIEWED** [HSDB]

May corrode metals in presence of moisture 
[U.S. Coast Guard, Department of Transportation. CHRIS - Hazardous Chemical Data. Volume II. Washington, D.C.: U.S. Government Printing Office, 1984-5.]**PEER REVIEWED** [HSDB]
"
_v0_10043-01-3,"Aluminium sulphate, >25% in a non hazardous diluent",9.1B (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 2,"CROSS REFERENCE: Aluminium sulphate Cas #10043-01-3

SPECIES: Salvelinus fontinalis
TYPE OF EXPOSURE: Static
DURATION: 96 hr
ENDPOINT: LC50
VALUE: 3.6 mg/l
REFERENCE SOURCE: Alcan Chemicals Limited Buckinghamshire. [IUCLID]

Bioccumulative: ND

Rapidly Degradable: ND
"
_v0_10043-01-3,"Aluminium sulphate, >25% in a non hazardous diluent",9.3C,Harmful to terrestrial vertebrates,,"CROSS REFERENCE: Aluminium sulphate Cas #10043-01-3


SPECIES: Mouse
ENDPOINT: LD50
VALUE: 770 mg/kg 
REFERENCE SOURCE: U.S. Coast Guard, Department of Transportation. CHRIS - Hazardous Chemical Data. Volume II. Washington, D.C.: U.S. Government Printing Office, 1984-5.]**PEER REVIEWED** [HSDB]"
_v0_10043-52-4,"Calcium chloride, >25% in a non hazardous diluent",6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4,Classification based on the parent record and mixture rules.
_v0_10043-52-4,"Calcium chloride, >25% in a non hazardous diluent",6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2,"Classification based on the pure chemical classification and mixture rules. 
"
_v0_10043-52-4,"Calcium chloride, >25% in a non hazardous diluent",6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2,"Classification based on the pure chemical classification and mixture rules. 
"
_v0_10043-52-4,"Calcium chloride, >25% in a non hazardous diluent",9.3C,Harmful to terrestrial vertebrates,,"Classification based on the pure chemical classification and mixture rules. 
"
_v1_10045-94-0,"Mercury (II) nitrate, >26% in a non hazardous diluent",6.1B (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 2,"Classification based on the parent record and mixture rules.
"
_v1_10045-94-0,"Mercury (II) nitrate, >26% in a non hazardous diluent",6.9A (oral),Toxic to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 1,"EndPoint: 
Primary Organ: 
R PHRASE: R 48, R33 [COMPANY DATA]"
_v1_10045-94-0,"Mercury (II) nitrate, >26% in a non hazardous diluent",9.1D (algal),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic),"Classification based on parent record and mixture rules. 
Bioccumulative: ND

Rapidly Degradable: ND
"
_v1_10045-94-0,"Mercury (II) nitrate, >26% in a non hazardous diluent",9.1D (crustacean),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic),"Classification based on parent record and mixture rules. 
Bioccumulative: ND

Rapidly Degradable: ND
"
_v1_10045-94-0,"Mercury (II) nitrate, >26% in a non hazardous diluent",9.1D (fish),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic),"Classification based on parent record and mixture rules. 
Bioccumulative: ND

Rapidly Degradable: ND
"
_v1_10045-94-0,"Mercury (II) nitrate, >26% in a non hazardous diluent",9.3A,Very ecotoxic to terrestrial vertebrates,,"R PHRASE: R 28 [Chemwatch]
"
_v0_101-37-1,"2,4,6-Tris(allyloxy)-1,3,5-triazine, >26% in a non hazardous diluent",6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4,R PHRASE: R 22 [Company Data]
_v0_101-37-1,"2,4,6-Tris(allyloxy)-1,3,5-triazine, >26% in a non hazardous diluent",9.1B (algal),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 2,"R PHRASE: R 51/53 [Company Data]
Bioccumulative: ND

Rapidly Degradable: ND
"
_v0_101-37-1,"2,4,6-Tris(allyloxy)-1,3,5-triazine, >26% in a non hazardous diluent",9.1B (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 2,"R PHRASE: R 51/53 [Company Data]
Bioccumulative: ND

Rapidly Degradable: ND
"
_v0_101-37-1,"2,4,6-Tris(allyloxy)-1,3,5-triazine, >26% in a non hazardous diluent",9.1B (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 2,"R PHRASE: R 51/53 [Company Data]

Bioccumulative: ND

Rapidly Degradable: ND
"
_v0_101-37-1,"2,4,6-Tris(allyloxy)-1,3,5-triazine, >26% in a non hazardous diluent",9.3C,Harmful to terrestrial vertebrates,,R PHRASE: R 22 [Company Data]
_v0_101-77-9,"4,4'-Diaminodiphenylmethane, >10 - 25% in a non hazardous diluent",6.5B (contact),Contact sensitisers,GHS: Skin sensitization - Category 1,"R PHRASE: R 43 [ECB]
"
_v0_101-77-9,"4,4'-Diaminodiphenylmethane, >10 - 25% in a non hazardous diluent",6.7B,Suspected human carcinogens,GHS: Carcinogenicity - Category 2,"R PHRASE: R 45 [ECB]
"
_v0_101-77-9,"4,4'-Diaminodiphenylmethane, >10 - 25% in a non hazardous diluent",9.1C (algal),Harmful in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 3,"Classification based on parent record and mixture rules. 

Bioccumulative: ND

Rapidly Degradable: ND
"
_v0_101-77-9,"4,4'-Diaminodiphenylmethane, >10 - 25% in a non hazardous diluent",9.1C (fish),Harmful in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 3,"Classification based on parent record and mixture rules. 

Bioccumulative: ND

Rapidly Degradable: ND
"
_v3_101-77-9,"4,4'-Methylene dianiline, >33% in a non hazardous diluent",6.1C (dermal),Acutely toxic,GHS: Acute toxicity: Dermal - Category 3,"Classification based on the parent record and mixture rules.
"
_v3_101-77-9,"4,4'-Methylene dianiline, >33% in a non hazardous diluent",6.1C (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 3,"Classification based on the parent record and mixture rules.
"
_v3_101-77-9,"4,4'-Methylene dianiline, >33% in a non hazardous diluent",6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2,Classification based on the pure chemical classification and mixture rules. 
_v3_101-77-9,"4,4'-Methylene dianiline, >33% in a non hazardous diluent",6.5B (contact),Contact sensitisers,GHS: Skin sensitization - Category 1,Classification based on the pure chemical classification and mixture rules. 
_v3_101-77-9,"4,4'-Methylene dianiline, >33% in a non hazardous diluent",6.6B,Suspected human mutagens,GHS: Germ cell mutagenicity - Category 2,
_v3_101-77-9,"4,4'-Methylene dianiline, >33% in a non hazardous diluent",6.7B,Suspected human carcinogens,GHS: Carcinogenicity - Category 2,Classification based on the pure chemical classification and mixture rules. 
_v3_101-77-9,"4,4'-Methylene dianiline, >33% in a non hazardous diluent",6.9B (inhalation),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2,"EndPoint: 
Primary Organ: 
REMARK: This substance was classified using the pure substance and mixture rules.
"
_v3_101-77-9,"4,4'-Methylene dianiline, >33% in a non hazardous diluent",6.9B (oral),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2,"EndPoint: 
Primary Organ: 
REMARK: This substance was classified using the pure substance and mixture rules.
"
_v3_101-77-9,"4,4'-Methylene dianiline, >33% in a non hazardous diluent",9.1C (algal),Harmful in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 3,"Classification based on parent record and mixture rules. 

Bioccumulative: ND

Rapidly Degradable: ND
"
_v3_101-77-9,"4,4'-Methylene dianiline, >33% in a non hazardous diluent",9.1C (fish),Harmful in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 3,"Classification based on parent record and mixture rules. 

Bioccumulative: ND

Rapidly Degradable: ND
"
_v3_101-77-9,"4,4'-Methylene dianiline, >33% in a non hazardous diluent",9.3B,Ecotoxic to terrestrial vertebrates,,Classification based on the pure chemical classification and mixture rules. 
_v0_10101-89-0,"Trisodium phosphate, >10% in a non hazardous diluent",6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2,"R PHRASE: R 38 [Company Data]
"
_v0_10101-89-0,"Trisodium phosphate, >10% in a non hazardous diluent",6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2,"R PHRASE: R 36 [Company Data]
"
_v0_10102-18-8,"Sodium selenite, >26% in a non hazardous diluent",6.1A (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 1,"Classification based on the parent record and mixture rules.
"
_v0_10102-18-8,"Sodium selenite, >26% in a non hazardous diluent",6.3B,Mildly irritating to the skin,GHS: Skin corrosion/irritation - Category 3,"Classification based on the pure chemical classification and mixture rules. 
"
_v0_10102-18-8,"Sodium selenite, >26% in a non hazardous diluent",6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2,"Classification based on the pure chemical classification and mixture rules. 
"
_v0_10102-18-8,"Sodium selenite, >26% in a non hazardous diluent",6.5B (contact),Contact sensitisers,GHS: Skin sensitization - Category 1,"Classification based on the pure chemical classification and mixture rules. 
"
_v0_10102-18-8,"Sodium selenite, >26% in a non hazardous diluent",6.6B,Suspected human mutagens,GHS: Germ cell mutagenicity - Category 2,
_v0_10102-18-8,"Sodium selenite, >26% in a non hazardous diluent",6.9A (oral),Toxic to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 1,"EndPoint: 
Primary Organ: 
This Classification is based on the pure substance, mixture rules and point estimates."
_v0_10102-18-8,"Sodium selenite, >26% in a non hazardous diluent",9.1A (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1,"Classification based on the parent record and mixture rules.
Bioccumulative: ND

Rapidly Degradable: ND
"
_v0_10102-18-8,"Sodium selenite, >26% in a non hazardous diluent",9.1B (algal),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 2,"Classification based on the parent record and mixture rules.
Bioccumulative: ND

Rapidly Degradable: ND
"
_v0_10102-18-8,"Sodium selenite, >26% in a non hazardous diluent",9.1B (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 2,"Classification based on the parent record and mixture rules.
Bioccumulative: ND

Rapidly Degradable: ND
"
_v0_10102-18-8,"Sodium selenite, >26% in a non hazardous diluent",9.3A,Very ecotoxic to terrestrial vertebrates,,Classification based on the pure chemical classification and mixture rules. 
_v0_10124-37-5,"Calcium nitrate, >25% in a non hazardous diluent",5.1.1C,Oxidising substances that are liquids or solids: low hazard,GHS: Oxidizing liquids/solids - Category 3,
_v0_10124-37-5,"Calcium nitrate, >25% in a non hazardous diluent",6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4,"Classification based on the parent record and mixture rules.
"
_v0_10124-37-5,"Calcium nitrate, >25% in a non hazardous diluent",6.3B,Mildly irritating to the skin,GHS: Skin corrosion/irritation - Category 3,"Classification based on the pure chemical classification and mixture rules. 
"
_v0_10124-37-5,"Calcium nitrate, >25% in a non hazardous diluent",9.3B,Ecotoxic to terrestrial vertebrates,,"Classification based on the pure chemical classification and mixture rules. 
"
_v1_10124-43-3,"Cobalt (II) sulphate, >26% in a non hazardous diluent",6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4,Classification based on the parent record and mixture rules.
_v1_10124-43-3,"Cobalt (II) sulphate, >26% in a non hazardous diluent",6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2,"Classification based on the pure chemical classification and mixture rules. 
"
_v1_10124-43-3,"Cobalt (II) sulphate, >26% in a non hazardous diluent",6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2,"Classification based on the pure chemical classification and mixture rules. 
"
_v1_10124-43-3,"Cobalt (II) sulphate, >26% in a non hazardous diluent",6.5A (respiratory),Respiratory sensitisers,GHS: Respiratory sensitization - Category 1,"Classifications based on the pure chemical classification and mixture rules. 
"
_v1_10124-43-3,"Cobalt (II) sulphate, >26% in a non hazardous diluent",6.5B (contact),Contact sensitisers,GHS: Skin sensitization - Category 1,"Classifications based on the pure chemical classification and mixture rules. 
"
_v1_10124-43-3,"Cobalt (II) sulphate, >26% in a non hazardous diluent",6.7B,Suspected human carcinogens,GHS: Carcinogenicity - Category 2,"Classification based on the pure chemical classification and mixture rules. 
"
_v1_10124-43-3,"Cobalt (II) sulphate, >26% in a non hazardous diluent",6.8B,Suspected human reproductive or developmental toxicants,GHS: Reproductive toxicity - Category 2,"Classification based on the pure chemical classification and mixture rules. 
"
_v1_10124-43-3,"Cobalt (II) sulphate, >26% in a non hazardous diluent",6.9A (inhalation),Toxic to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 1,"EndPoint: 
Primary Organ: 
This Classification is based on the pure substance, mixture rules and point estimates."
_v1_10124-43-3,"Cobalt (II) sulphate, >26% in a non hazardous diluent",6.9A (oral),Toxic to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 1,"EndPoint: 
Primary Organ: 
This Classification is based on the pure substance, mixture rules and point estimates."
_v1_10124-43-3,"Cobalt (II) sulphate, >26% in a non hazardous diluent",9.1A (algal),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1,"Classification based on the parent record and mixture rules.
Bioccumulative: ND

Rapidly Degradable: ND
"
_v1_10124-43-3,"Cobalt (II) sulphate, >26% in a non hazardous diluent",9.1A (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1,"Classification based on the parent record and mixture rules.
Bioccumulative: ND

Rapidly Degradable: ND
"
_v1_10124-43-3,"Cobalt (II) sulphate, >26% in a non hazardous diluent",9.1A (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Acute or Chronic) - Category 1,"Classification based on the parent record and mixture rules.
Bioccumulative: ND

Rapidly Degradable: ND
"
_v1_10124-43-3,"Cobalt (II) sulphate, >26% in a non hazardous diluent",9.3B,Ecotoxic to terrestrial vertebrates,,"Classification based on the pure chemical classification and mixture rules. 
"
_v0_10124-56-8,"Sodium hexametaphosphate, >5 - 50% in a non hazardous diluent",8.2C,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1C,"Classification based on the pure chemical classification and mixture rules. 
"
_v0_10124-56-8,"Sodium hexametaphosphate, >5 - 50% in a non hazardous diluent",8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1,"Classification based on the pure chemical classification and mixture rules. 
"
_v1_10124-56-8,"Sodium hexametaphosphate, >50% in a non hazardous diluent",6.1E (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 5,Classification based on the parent record and mixture rules.
_v1_10124-56-8,"Sodium hexametaphosphate, >50% in a non hazardous diluent",8.2C,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1C,"Classification based on the pure chemical classification and mixture rules. 
"
_v1_10124-56-8,"Sodium hexametaphosphate, >50% in a non hazardous diluent",8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1,"Classification based on the pure chemical classification and mixture rules. 
"
_v0_10192-30-0,"Ammonium bisulphite, >5% in a non hazardous diluent",8.2C,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1C,"R PHRASE: R 34 [CHEMWATCH]
"
_v0_10192-30-0,"Ammonium bisulphite, >5% in a non hazardous diluent",8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1,"R PHRASE: R 41 [CHEMWATCH]
"
_v0_102-71-6,"Triethanolamine, >10 - 25% in a non hazardous diluent",6.3B,Mildly irritating to the skin,GHS: Skin corrosion/irritation - Category 3,"Classification based on the pure chemical classification and mixture rules. 
"
_v0_102-71-6,"Triethanolamine, >10 - 25% in a non hazardous diluent",6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2,"Classification based on the pure chemical classification and mixture rules. 
"
_v1_102-71-6,"Triethanolamine, >50% in a non hazardous diluent",6.1E (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 5,"Classification based on the parent record and mixture rules.
"
_v1_102-71-6,"Triethanolamine, >50% in a non hazardous diluent",6.3B,Mildly irritating to the skin,GHS: Skin corrosion/irritation - Category 3,"Classification based on the pure chemical classification and mixture rules. 
"
_v1_102-71-6,"Triethanolamine, >50% in a non hazardous diluent",6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2,"Classification based on the pure chemical classification and mixture rules. 
"
_v1_102-71-6,"Triethanolamine, >50% in a non hazardous diluent",9.2D,Slightly harmful in the soil environment,,"
Soil DT 50 > 30 days: ND
"
_v0_10213-79-3,"Sodium metasilicate, pentahydrate, >5 - 50% in a non hazardous diluent",8.2C,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1C,"R PHRASE: R 34 [Company Data]
"
_v0_10213-79-3,"Sodium metasilicate, pentahydrate, >5 - 50% in a non hazardous diluent",8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1,"R PHRASE: R 34 [Company Data]
"
_v1_10213-79-3,"Sodium metasilicate, pentahydrate, >50% in a non hazardous diluent",6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4,"Classification based on the parent record and mixture rules.
"
_v1_10213-79-3,"Sodium metasilicate, pentahydrate, >50% in a non hazardous diluent",8.2C,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1C,"R PHRASE: R 34 [Company Data]
"
_v1_10213-79-3,"Sodium metasilicate, pentahydrate, >50% in a non hazardous diluent",8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1,"R PHRASE: R 34 [Company Data]
"
_v1_10213-79-3,"Sodium metasilicate, pentahydrate, >50% in a non hazardous diluent",9.3C,Harmful to terrestrial vertebrates,,"REMARK: Cross referenced to Sodium metasilicate, pentahydrate CAS# 10213-79-3.
"
_v0_10294-56-1,"Phosphorous acid, >26% in a non hazardous diluent",6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4,
_v0_10294-56-1,"Phosphorous acid, >26% in a non hazardous diluent",8.1A,Corrosive to metals,GHS: Corrosive to metals - Category 1,
_v0_10294-56-1,"Phosphorous acid, >26% in a non hazardous diluent",8.2C,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1C,"Classification based on the pure chemical classification and mixture rules. 
"
_v0_10294-56-1,"Phosphorous acid, >26% in a non hazardous diluent",8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1,"Classification based on the pure chemical classification and mixture rules. 
"
_v0_10294-56-1,"Phosphorous acid, >26% in a non hazardous diluent",9.3C,Harmful to terrestrial vertebrates,,"Classification based on the pure chemical classification and mixture rules. 
"
_v0_103-90-2,"Paracetamol (4-hydroxyacetanilide), >26% in a non hazardous diluent",6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4,"R PHRASE: R 22 [Company Data]
"
