CASRN,Name,Hazard class,Category,H-statement,M-factor
5707-69-7,"4,5-Isoxazoledione, 3-methyl-, 4-[(2-chlorophenyl)hydrazone] ; Drazoxolon",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,1
5707-69-7,"4,5-Isoxazoledione, 3-methyl-, 4-[(2-chlorophenyl)hydrazone] ; Drazoxolon",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
111-92-2,Di-n-butylamine,Flammable liquids,Category 3,H226 - Flammable liquid and vapour,
111-92-2,N-Butyl-1-butanamine ; n-Dibutylamine,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
111-92-2,N-Butyl-1-butanamine ; n-Dibutylamine,Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
111-92-2,N-Butyl-1-butanamine ; n-Dibutylamine,Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
111-92-2,N-Butyl-1-butanamine ; n-Dibutylamine,Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
111-92-2,N-Butyl-1-butanamine ; n-Dibutylamine,Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
131-89-5,Dinex,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
131-89-5,"2-Cyclohexyl-4,6-dinitrophenol ; Dinex",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,1
131-89-5,"2-Cyclohexyl-4,6-dinitrophenol ; Dinex",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
973-21-7,Dinobuton,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,10
973-21-7,"2-sec-Butyl-4,6-dinitrophenyl isopropyl carbonate ; Carbonic acid 1-methylethyl 2-(1-methylpropyl)-4,6-dinitrophenyl ester, Dinobuton",Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
973-21-7,"2-sec-Butyl-4,6-dinitrophenyl isopropyl carbonate ; Carbonic acid 1-methylethyl 2-(1-methylpropyl)-4,6-dinitrophenyl ester, Dinobuton",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,10
973-21-7,"2-sec-Butyl-4,6-dinitrophenyl isopropyl carbonate ; Carbonic acid 1-methylethyl 2-(1-methylpropyl)-4,6-dinitrophenyl ester, Dinobuton",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
39300-45-3,Dinocap,Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,10
39300-45-3,Dinocap,Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
39300-45-3,"2-(1-Methylheptyl)-4,6-dinitrophenyl butenoate ; Dinocap",Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
39300-45-3,"2-(1-Methylheptyl)-4,6-dinitrophenyl butenoate ; Dinocap",Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
39300-45-3,"2-(1-Methylheptyl)-4,6-dinitrophenyl butenoate ; Dinocap",Reproductive toxicity,Category 1,H360 - May damage fertility or the unborn child,
39300-45-3,"2-(1-Methylheptyl)-4,6-dinitrophenyl butenoate ; Dinocap",Specific target organ toxicity - Repeated exposure,Category 2,H373 - May cause damage to organs through prolonged or repeated exposure,
39300-45-3,"2-(1-Methylheptyl)-4,6-dinitrophenyl butenoate ; Dinocap",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,100
39300-45-3,"2-(1-Methylheptyl)-4,6-dinitrophenyl butenoate ; Dinocap",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
1420-07-1,Dinoterb,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,100
1420-07-1,"Dinoterb : 2-tert-Butyl-4,6-dinitrophenol",Acute toxicity (dermal),Category 2,H310 - Fatal in contact with skin,
1420-07-1,"Dinoterb : 2-tert-Butyl-4,6-dinitrophenol",Reproductive toxicity,Category 1,H360 - May damage fertility or the unborn child,
1420-07-1,"Dinoterb : 2-tert-Butyl-4,6-dinitrophenol",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,100
1420-07-1,"Dinoterb : 2-tert-Butyl-4,6-dinitrophenol",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
50-29-3,DDT,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,100
50-29-3,"Benzene, 1,1'-(2,2,2-trichloroethylidene)bis[4-chloro- ; DDT ; Clofenotane",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
50-29-3,"Benzene, 1,1'-(2,2,2-trichloroethylidene)bis[4-chloro- ; DDT ; Clofenotane",Carcinogenicity,Category 2,H351 - Suspected of causing cancer,
50-29-3,"Benzene, 1,1'-(2,2,2-trichloroethylidene)bis[4-chloro- ; DDT ; Clofenotane",Specific target organ toxicity - Repeated exposure,Category 1,H372 - Causes damage to organs through prolonged or repeated exposure,
50-29-3,"Benzene, 1,1'-(2,2,2-trichloroethylidene)bis[4-chloro- ; DDT ; Clofenotane",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,1000
50-29-3,"Benzene, 1,1'-(2,2,2-trichloroethylidene)bis[4-chloro- ; DDT ; Clofenotane",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
122-15-6,Dimetan,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
60-51-5,Dimethoate,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
60-51-5,"O,O-Dimethyl S-methylcarbamoylmethyl phosphorodithioate ; Dimethoate, Cygon",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
60-51-5,"O,O-Dimethyl S-methylcarbamoylmethyl phosphorodithioate ; Dimethoate, Cygon",Hazardous to the aquatic environment (chronic),Category 2,H411 - Toxic to aquatic life with long lasting effects,
17040-19-6,Demeton-S-methylsulfone,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
17040-19-6,Demeton-S-methyl sulfone,Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
17040-19-6,Demeton-S-methyl sulfone,Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
17040-19-6,Demeton-S-methyl sulfone,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
17040-19-6,Demeton-S-methyl sulfone,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
644-64-4,Dimetilan,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
644-64-4,"Dimetilan ; Carbamic acid, dimethyl-, 1-((dimethylamino)carbonyl)-5-methyl-1H-pyrazol-3-yl ester",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
2274-67-1,Dimethylvinphos,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
2274-67-1,"2-Chloro-1-(2,4-dichlorophenyl)vinyl dimethyl phosphate ; Dimethyl vinphos",Acute toxicity (dermal),Category 4,H312 - Harmful in contact with skin,
2274-67-1,"2-Chloro-1-(2,4-dichlorophenyl)vinyl dimethyl phosphate ; Dimethyl vinphos",Acute toxicity (inhalation),Category 3,H331 - Toxic if inhaled,
298-04-4,Disulfoton,Acute toxicity (oral),Category 1,H300 - Fatal if swallowed,100
298-04-4,"O,O-Diethyl S-[2-(ethylthio)ethyl] phosphorodithioate ; Disulfoton",Acute toxicity (dermal),Category 1,H310 - Fatal in contact with skin,
298-04-4,"O,O-Diethyl S-[2-(ethylthio)ethyl] phosphorodithioate ; Disulfoton",Acute toxicity (inhalation),Category 1,H330 - Fatal if inhaled,
298-04-4,"O,O-Diethyl S-[2-(ethylthio)ethyl] phosphorodithioate ; Disulfoton",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,100
298-04-4,"O,O-Diethyl S-[2-(ethylthio)ethyl] phosphorodithioate ; Disulfoton",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
3078-97-5,DSP,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
60-57-1,Dieldrin,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,100
60-57-1,"(1aα,2β,2aα,3β,6β,6aα,7β,7aα)-3,4,5,6,9,9-Hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-2,7:3,6-dimethanonaphth[2,3-b]oxirene ; Dieldrin, HEOD, Octalox",Acute toxicity (dermal),Category 2,H310 - Fatal in contact with skin,
60-57-1,"(1aα,2β,2aα,3β,6β,6aα,7β,7aα)-3,4,5,6,9,9-Hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-2,7:3,6-dimethanonaphth[2,3-b]oxirene ; Dieldrin, HEOD, Octalox",Acute toxicity (inhalation),Category 1,H330 - Fatal if inhaled,
60-57-1,"(1aα,2β,2aα,3β,6β,6aα,7β,7aα)-3,4,5,6,9,9-Hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-2,7:3,6-dimethanonaphth[2,3-b]oxirene ; Dieldrin, HEOD, Octalox",Carcinogenicity,Category 2,H351 - Suspected of causing cancer,
60-57-1,"(1aα,2β,2aα,3β,6β,6aα,7β,7aα)-3,4,5,6,9,9-Hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-2,7:3,6-dimethanonaphth[2,3-b]oxirene ; Dieldrin, HEOD, Octalox",Specific target organ toxicity - Repeated exposure,Category 1,H372 - Causes damage to organs through prolonged or repeated exposure,
60-57-1,"(1aα,2β,2aα,3β,6β,6aα,7β,7aα)-3,4,5,6,9,9-Hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-2,7:3,6-dimethanonaphth[2,3-b]oxirene ; Dieldrin, HEOD, Octalox",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,1000
60-57-1,"(1aα,2β,2aα,3β,6β,6aα,7β,7aα)-3,4,5,6,9,9-Hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-2,7:3,6-dimethanonaphth[2,3-b]oxirene ; Dieldrin, HEOD, Octalox",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
74-94-2,DMAB,Flammable solids,Category 2,H228 - Flammable solid,
74-94-2,Dimethylamine borane ; DMAB,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
74-94-2,Dimethylamine borane ; DMAB,Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
74-94-2,Dimethylamine borane ; DMAB,Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
3811-49-2,Dioxabenzofos,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
3811-49-2,"2-Methoxy-4H-1,3,2-benzodioxaphosphorin 2-sulphide ; Dioxabenzofos",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
3811-49-2,"2-Methoxy-4H-1,3,2-benzodioxaphosphorin 2-sulphide ; Dioxabenzofos",Specific target organ toxicity - Single exposure,Category 1,H370 - Causes damage to organs,
3811-49-2,"2-Methoxy-4H-1,3,2-benzodioxaphosphorin 2-sulphide ; Dioxabenzofos",Hazardous to the aquatic environment (chronic),Category 2,H411 - Toxic to aquatic life with long lasting effects,
6988-21-2,Dioxacarb,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
6988-21-2,"Dioxacarb ; Phenol, 2-(1,3-dioxolan-2-yl)-, methylcarbamate",Acute toxicity (dermal),Category 4,H312 - Harmful in contact with skin,
6988-21-2,"Dioxacarb ; Phenol, 2-(1,3-dioxolan-2-yl)-, methylcarbamate",Hazardous to the aquatic environment (chronic),Category 3,H412 - Harmful to aquatic life with long lasting effects,
115-32-2,Dicofol,Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,10
115-32-2,"4-Chloro-α-(4-chlorophenyl)-α-(trichloromethyl)benzenemethanol ; Dicofol, Acarin, Kelthane",Acute toxicity (dermal),Category 4,H312 - Harmful in contact with skin,
115-32-2,"4-Chloro-α-(4-chlorophenyl)-α-(trichloromethyl)benzenemethanol ; Dicofol, Acarin, Kelthane",Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
115-32-2,"4-Chloro-α-(4-chlorophenyl)-α-(trichloromethyl)benzenemethanol ; Dicofol, Acarin, Kelthane",Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
115-32-2,"4-Chloro-α-(4-chlorophenyl)-α-(trichloromethyl)benzenemethanol ; Dicofol, Acarin, Kelthane",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,10
115-32-2,"4-Chloro-α-(4-chlorophenyl)-α-(trichloromethyl)benzenemethanol ; Dicofol, Acarin, Kelthane",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
79-43-6,Dichloroacetic acid,Skin corrosion/irritation,Category 1,H314 - Causes severe skin burns and eye damage,
79-43-6,Dichloroacetic acid ; DCA,Carcinogenicity,Category 2,H351 - Suspected of causing cancer,
97-17-6,Dichlofenthion,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
97-17-6,Dichlofenthion,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
97-17-6,Dichlofenthion,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
3347-22-6,Dithianone,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
3347-22-6,"5,10-Dihydro-5,10-dioxonaphtho[2,3-b]-1,4-dithiin-2,3-dicarbonitrile ; 2,3-Dicyano-1,4-dithiaanthraquinone, Dithianone",Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
3347-22-6,"5,10-Dihydro-5,10-dioxonaphtho[2,3-b]-1,4-dithiin-2,3-dicarbonitrile ; 2,3-Dicyano-1,4-dithiaanthraquinone, Dithianone",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
3347-22-6,"5,10-Dihydro-5,10-dioxonaphtho[2,3-b]-1,4-dithiin-2,3-dicarbonitrile ; 2,3-Dicyano-1,4-dithiaanthraquinone, Dithianone",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
97886-45-8,Dithiopyr,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
97886-45-8,"S,S'-Dimethyl 2-difluoromethyl-4-isobutyl-6-trifluoromethylpyridine-3,5-dicarbothioate ; Dithiopyr",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
56073-07-5,Difenacoum,Acute toxicity (oral),Category 1,H300 - Fatal if swallowed,
56073-07-5,"3-(3-Biphenyl-4-yl-1,2,3,4-tetrahydro-1-naphthyl)-4-hydroxycoumarin ; Difenacoum",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
56073-07-5,"3-(3-Biphenyl-4-yl-1,2,3,4-tetrahydro-1-naphthyl)-4-hydroxycoumarin ; Difenacoum",Specific target organ toxicity - Repeated exposure,Category 1,H372 - Causes damage to organs through prolonged or repeated exposure,
56073-07-5,"3-(3-Biphenyl-4-yl-1,2,3,4-tetrahydro-1-naphthyl)-4-hydroxycoumarin ; Difenacoum",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
56073-07-5,"3-(3-Biphenyl-4-yl-1,2,3,4-tetrahydro-1-naphthyl)-4-hydroxycoumarin ; Difenacoum",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
119446-68-3,Difenoconazole,Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,
119446-68-3,"Difenoconazole ; cis,trans-3-Chloro-4-[4-methyl-2-(1H-1,2,4-triazol-1-ylmethyl)-1,3-dioxolan-2-yl]phenyl 4-chlorophenyl ether",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
119446-68-3,"Difenoconazole ; cis,trans-3-Chloro-4-[4-methyl-2-(1H-1,2,4-triazol-1-ylmethyl)-1,3-dioxolan-2-yl]phenyl 4-chlorophenyl ether",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
10453-86-8,Resmethrin,Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,100
10453-86-8,"2,2-Dimethyl-3-(2-methyl-1-propenyl)cyclopropanecarboxylic acid [5-(phenylmethyl)-3-furanyl]methyl ester",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,1000
10453-86-8,"2,2-Dimethyl-3-(2-methyl-1-propenyl)cyclopropanecarboxylic acid [5-(phenylmethyl)-3-furanyl]methyl ester",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
21609-90-5,Leptophos,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,10
21609-90-5,"Phosphonothioic acid, phenyl-, O-(4-bromo-2,5-dichlorophenyl) O-methyl ester ; Leptophos",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
21609-90-5,"Phosphonothioic acid, phenyl-, O-(4-bromo-2,5-dichlorophenyl) O-methyl ester ; Leptophos",Specific target organ toxicity - Single exposure,Category 1,H370 - Causes damage to organs,
21609-90-5,"Phosphonothioic acid, phenyl-, O-(4-bromo-2,5-dichlorophenyl) O-methyl ester ; Leptophos",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,10
21609-90-5,"Phosphonothioic acid, phenyl-, O-(4-bromo-2,5-dichlorophenyl) O-methyl ester ; Leptophos",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
330-55-2,Linuron,Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,
330-55-2,"3-(3',4'-Dichlorophenyl)-1-methoxy-1-methylurea ; N""""-(3,4-Dichlorophenyl)-N-methoxy-N-methylurea, Linuron, Afalon",Acute toxicity (inhalation),Category 1,H330 - Fatal if inhaled,
330-55-2,"3-(3',4'-Dichlorophenyl)-1-methoxy-1-methylurea ; N""""-(3,4-Dichlorophenyl)-N-methoxy-N-methylurea, Linuron, Afalon",Reproductive toxicity,Category 1,H360 - May damage fertility or the unborn child,
330-55-2,"3-(3',4'-Dichlorophenyl)-1-methoxy-1-methylurea ; N""""-(3,4-Dichlorophenyl)-N-methoxy-N-methylurea, Linuron, Afalon",Specific target organ toxicity - Repeated exposure,Category 2,H373 - May cause damage to organs through prolonged or repeated exposure,
330-55-2,"3-(3',4'-Dichlorophenyl)-1-methoxy-1-methylurea ; N""""-(3,4-Dichlorophenyl)-N-methoxy-N-methylurea, Linuron, Afalon",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,0
330-55-2,"3-(3',4'-Dichlorophenyl)-1-methoxy-1-methylurea ; N""""-(3,4-Dichlorophenyl)-N-methoxy-N-methylurea, Linuron, Afalon",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
109-77-3,Malononitrile,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,10
109-77-3,Dicyanomethane ; Malononitrile,Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
109-77-3,Dicyanomethane ; Malononitrile,Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
109-77-3,Dicyanomethane ; Malononitrile,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,10
2595-54-2,Mecarbam,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
2595-54-2,"S-(N-Ethoxycarbonyl-N-methylcarbamoylmethyl)O,O-diethyl phosphorodithoate ; Mecarbam",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
2595-54-2,"S-(N-Ethoxycarbonyl-N-methylcarbamoylmethyl)O,O-diethyl phosphorodithoate ; Mecarbam",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
2595-54-2,"S-(N-Ethoxycarbonyl-N-methylcarbamoylmethyl)O,O-diethyl phosphorodithoate ; Mecarbam",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
51-75-2,Mechlorethamine,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
51-75-2,"Ethanamine, 2-chloro-N-(2-chloroethyl)-N-methyl- ; Chlormethine ; Mechlorethamine",Acute toxicity (dermal),Category 1,H310 - Fatal in contact with skin,
51-75-2,"Ethanamine, 2-chloro-N-(2-chloroethyl)-N-methyl- ; Chlormethine ; Mechlorethamine",Carcinogenicity,Category 1,H350 - May cause cancer,
66952-49-6,Methasulfocarb,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
10265-92-6,Methamidophos,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
10265-92-6,"O,S-Dimethyl phosphoramidothioate ; Methamidophos",Acute toxicity (dermal),Category 2,H310 - Fatal in contact with skin,
10265-92-6,"O,S-Dimethyl phosphoramidothioate ; Methamidophos",Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
10265-92-6,"O,S-Dimethyl phosphoramidothioate ; Methamidophos",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
108-62-3,Metaldehyde,Flammable solids,Category 2,H228 - Flammable solid,
108-62-3,"2,4,6,8-Tetramethyl-1,3,5,7-tetraoxacyclooctane ; Metaldehyde",Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
2032-65-7,Methiocarb,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,10
2032-65-7,"Phenol, 3,5-dimethyl-4-(methylthio)-, methylcarbamate ; Mercaptodimethur ; Methiocarb",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
2032-65-7,"Phenol, 3,5-dimethyl-4-(methylthio)-, methylcarbamate ; Mercaptodimethur ; Methiocarb",Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
2032-65-7,"Phenol, 3,5-dimethyl-4-(methylthio)-, methylcarbamate ; Mercaptodimethur ; Methiocarb",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,10
2032-65-7,"Phenol, 3,5-dimethyl-4-(methylthio)-, methylcarbamate ; Mercaptodimethur ; Methiocarb",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
57-39-6,Methyl aphoxide,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
