CASRN,Name,Hazard class,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
25167-80-0,chlorophenol,Pyrophoric liquids,"Classification not possible (o) 
Not applicable (m, p)",-,-,-,"No data. (o-body)
It is a solid by the definition of GHS. (m-body, p-body)","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
25496-01-9,Tridecylbenzenesulphonic acid (C13),Pyrophoric liquids,Not classified (liquid),,,,Classified into Class 8 (UN#2586 Alkyl sulfonic acids (liquid) or Aryl sulfonic acids (liquid) (with not more than 5% free sulfuric acid)) (UN Recommendation on the Transport of Dangerous Goods). ,"Oct. 23, 2006 (Environmental Hazards: Jan. 25, 2007)"
26239-64-5,"[1R-(1alpha,4abeta,4balpha,10aalpha)]-Tributyl[[[1,2,3,4,4a,4b,5,6,10,10a-decahydro-7-isopropyl-1,4a-dimethyl-1-phenanthryl]carbonyl]oxy]stannane",Pyrophoric liquids,Classification not possible (as a liquid),,,,No data available,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
27176-87-0,Dodecylbenzenesulphonic acid (C12),Pyrophoric liquids,Not classified (liquid),,,,Classified into Class 8 (UN#2586 Alkyl sulfonic acids (liquid) or Aryl sulfonic acids (liquid) (with not more than 5% free sulfuric acid)) (UN Recommendation on the Transport of Dangerous Goods). ,"Oct. 23, 2006 (Environmental Hazards: Jan. 25, 2007)"
27636-75-5,Sodium undecylbenzenesulfonate (C11),Pyrophoric liquids,Not classified (liquid),,,,"Considered non-pyrophoric when in contact with air at ordinary temperatures since the substance is used as laundry detergents (CERI-NITE Hazard Assessment, 2006), and sodium dodecylbenzenesulphonate (C12), which is an analog, is classified as non-flammable (ICSC, 1999).","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
288-88-0,"1,2,4-triazole",Pyrophoric liquids,,,,,0.0,2008.03.26
30776-59-1,Tetradecylbenzenesulphonic acid (C14),Pyrophoric liquids,Not classified (liquid),,,,Classified into Class 8 (UN#2586 Alkyl sulfonic acids (liquid) or Aryl sulfonic acids (liquid) (with not more than 5% free sulfuric acid)) (UN Recommendation on the Transport of Dangerous Goods). ,"Oct. 23, 2006 (Environmental Hazards: Jan. 25, 2007)"
3090-36-6,Tributyl(lauroyloxy)stannane,Pyrophoric liquids,Classification not possible (as a liquid),,,,No data available,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
31093-47-7,Decylbenzenesulfonic acid (C10),Pyrophoric liquids,Not classified (liquid),,,,Classified into Class 8 (UN#2586 Alkyl sulfonic acids (liquid) or Aryl sulfonic acids (liquid) (with not more than 5% free sulfuric acid)) (UN Recommendation on the Transport of Dangerous Goods). ,"Oct. 23, 2006 (Environmental Hazards: Jan. 25, 2007)"
4782-29-0,[(Phthaloylbis(oxy)]bis(tributylstannane),Pyrophoric liquids,Classification not possible (as a liquid),,,,No data available,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
50-00-0,Formaldehyde,Pyrophoric liquids,"Not applicable (gas), Not classified (aqueous solution)",,,,"Classified as ""gas"" according to GHS definition (gas). The flash point of formaldehyde (gas) is 430degC (c.c.) (ICSC (2004)), not pyrophoric when in contact with air at ordinary temperature, and its solution not pyrophoric when in contact with air at ordinary temperature.","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
50854-94-9,Undecylbenzenesulfonic acid (C11),Pyrophoric liquids,Not classified (liquid),,,,Classified into Class 8 (UN#2586 Alkyl sulfonic acids (liquid) or Aryl sulfonic acids (liquid) (with not more than 5% free sulfuric acid)) (UN Recommendation on the Transport of Dangerous Goods). ,"Oct. 23, 2006 (Environmental Hazards: Jan. 25, 2007)"
61788-33-8,Polychlorinated terphenyls,Pyrophoric liquids,Not classified (liquid),,,,"Considered non-pyrophoric when in contact with air at ordinary temperatures since the substance had previously been used as a fire-retardant (EHC 140 (1993). Classified into Class 9 (UN#3151 (Polyhalogenated Biphenyls (liquid; excluding polychlorinated biphenyls (UN#2315, liquid); those with concentrations of not more than 50mg/kg are not included in the Dangerous Goods list), or Polyhalogenated Terphenyls (liquid; those with concentrations of not more than 50mg/kg are not included in the Dangerous Goods list)) (UN Recommendation on the Transport of Dangerous Goods).
","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
61931-75-7,Ammonium undecylbenzenesulfonate (C11),Pyrophoric liquids,Classification not possible (as a liquid),,,,No data available ,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
6454-35-9,"(E)-5,5,12,12-Tetrabutyl-7,10-dioxo-6,11-dioxa-5,12-distannahexadec-8-ene",Pyrophoric liquids,Classification not possible (as a liquid),,,,No data available,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
6517-25-5,Tributyltin sulfamate,Pyrophoric liquids,Classification not possible (as a liquid),,,,No data available,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
67772-01-4,"Coplymer of alkyl(c=8) acrylate,methyl methacrylate and tributyltin methacrylate",Pyrophoric liquids,Classification not possible (as a liquid),,,,No data available,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
69094-18-4,"2,2-dibromo-2-nitroethanol",Pyrophoric liquids,,,,,0.0,2008.02.25
77-73-6,Dicyclopentadiene,Pyrophoric liquids,Not classified(industrial products),-,-,-,"There is information that the ignition points is 503 degC, and it can be considered that it does not ignite in room temperatures.","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
7778-39-4,Arsenic acid,Pyrophoric liquids,Not classified (aqueous solution),,,,Arsenic acid 0.5 hydrate is classified as non-flammable (HSDB (2006)),"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
823-40-5,2-methyl-m-phenylene diamine,Pyrophoric liquids,,,,,0.0,2008.02.19
85954-11-6,"2,2'-((3,3',5,5'-tetramethyl-(1,1'-biphenyl)-4,4'-diyl)-bis(oxymethylene))-bis-oxirane",Pyrophoric liquids,,,,,0.0,2008.02.22
87-66-1,pyrogallol,Pyrophoric liquids,,,,,0.0,2008.03.26
88-12-0,1-vinyl-2-pyrrolidone,Pyrophoric liquids,,,,,0.0,2008.03.17
9016-45-9,Poly(oxyethylene) nonylphenyl ether,Pyrophoric liquids,Not classified (EO9.5),,,,"Considered non-pyrophoric when in contact with air at ordinary temperatures since the substance is used as commercial detergents (EO9.5, CERI-NITE Hazard Assessment (2004))
","Nov. 20, 2006 (Environmental Hazards: Jan. 25, 2007)"
96-29-7,2-butanone oxime,Pyrophoric liquids,,,,,0.0,2008.03.25
