CASRN,Name,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
101-77-9,"4,4'-Methylenedianiline",Acute toxicity (oral) - Category 4,,,,"Based on the LD50 value of 335mg/kg calculated from the testing data of rat LD50 (oral route) of 264mg/kg (MOE Risk Assessment vol. 2 (2003)), 355mg/kg, 475mg/kg, 547mg/kg and 830mg/kg (DFGOT vol.7 (1996)).","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
101-80-4,"4,4'-oxybisbenzenamine",Acute toxicity (oral) - Category 4,Exclamation mark,Warning,Harmful if swallowed,"SPECIES: Rat
ENDPOINT: LD50
VALUE: 725 mg/kg
REFERENCE SOURCE: HSDB (2003)","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
101-84-8,Diphenyl ether,Acute toxicity (oral) - Category 5,-,Warning,May be harmful if swallowed,"Statistical calculations of the rat oral administration data of (ACGIH(2001), PATTY(5th, 2001), RTECS (2004)) show LD50 value: 2786mg/kg, and it is set as Category 5.","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
101-90-6,"m-bis(2,3-epoxypropoxy)benzene",Acute toxicity (oral) - Category 5,-,Warning,May be harmful if swallowed,"SPECIES: Rat
ENDPOINT: LD50
VALUE: 2570 mg/kg
REFERENCE SOURCE: DFGOT (vol.7, 1996), IARC (36, 1985)","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10102-18-8,sodium selenite,Acute toxicity (oral) - Category 2,Skull and crossbones,Danger,Fatal if swallowed,"SPECIES: Rat
ENDPOINT: LD50
VALUE: 7mg/kg
REFERENCE SOURCE: RTECS(2004)","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
10102-45-1,Thallium nitrate,Acute toxicity (oral) - Category 2,,,,Based on the mouse LD50 (oral route) value of 15mg/kg (RTECS (2004)).,"Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
10108-64-2,Cadmium chloride,Acute toxicity (oral) - Category 3,,,,"Based on the testing data of 88mg/kg representing the lowest value of rat LD50 (oral route) of 88-302mg/kg (CaPSAR (1994)).
","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10112-91-1,Dimercury dichloride,Acute toxicity (oral) - Category 3,,,,Based on the rat LD50 (oral route) value of 210mg/kg (RTECS (2005)).,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
10124-36-4,Cadmium sulphate,Acute toxicity (oral) - Category 4,,,,Based on the rat LD50 (oral route) of 357mg/kg (CaPSAR (1994)).,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10124-50-2,potassium arsonate,Acute toxicity (oral) - Category 2,Skull and crossbones,Danger,Fatal if swallowed,SPECIES: Rat; ENDPOINT: LD50; VALUE: 14 mg/kg;  REFERENCE SOURCE: RTECS (2004),"Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
1014-70-6,"2,4-bis(ethylamino)-6-methylthio-1,3,5-triazine",Acute toxicity (oral) - Category 4,,,,"Based on the rat LD50 (oral route) value of 780mg/kg (Agricultural Chemical Registration Data (1969)).
","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
102-06-7,"1,3-diphenylguanidine",Acute toxicity (oral) - Category 3,Skull and crossbones,Danger,Toxic if swallowed,"From LD50 value 107 mg/kg (Health, Labor and Welfare Ministry report (Access on September 2008)) of the acute oral toxicity test (OECD TG 401, GLP) employing a rat, it was classified into ""Category 3"". in EU classification, iXn; R 22 (EU-Annex I) is equivalent to Category 3-4. ",2009.3.31
102-27-2,"m-Toluidine, N-ethyl-",Acute toxicity (oral) - Category 4,Exclamation mark,Warning,Harmful if swallowed,"Of the two LD50 values in rats, LD50 = 580mg/kg (RTECS(2000)) and 787mg/kg (HSDB(2003)), we selected the value indicating the higher toxicity to classify the substance as Category 4.","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
102-54-5,ferrocene,Acute toxicity (oral) - Category 4,Exclamation mark,Warning,Harmful if swallowed,"SPECIES: Rat
ENDPOINT: LD50
VALUE: 1320 mg/kg
REFERENCE SOURCE: PATTY (5th, 2001)","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
102-81-8,2-(Di-n-butylamino)ethanol,Acute toxicity (oral) - Category 4,,,,"Based on the rat LD50 (oral route) value of 1,070mg/kg representing the lower of the two testing data, 1,780mg/kg and 1,070mg/kg (ACGIH (7th, 2001)).","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
102-82-9,Tributan-1-ylamine,Acute toxicity (oral) - Category 4,Exclamation mark,Warning,Harmful if swallowed,"LD50 value of the oral administration test employing a rat includes 540 mg/kg (Patty (5th, 2001) and 114 mg/kg (RTECS (2008)).). From LD50 value 540 mg/kg described in the information source of List1, it was classified into Category 4. ",2009.3.31
10222-01-2,"2,2-Dibromo-2-cyanoacetamide",Acute toxicity (oral) - Category 3,Skull and crossbones,Danger,Toxic if swallowed,"From a description of LD50 value of 235 mg/kg (male) and 178 mg/kg (female), (HSDB (2002)) in the oral administration test employing rats, it was classified into Category 3. ",2009.3.31
1024-57-3,heptachlor epoxide,Acute toxicity (oral) - Category 2,Skull and crossbones,Danger,Fatal if swallowed,"Category 2 based on SPECIES: Rat; ENDPOINT: LD50; VALUE: :34mg/kg (used to classify) and 62 mg/kg; REFERENCE SOURCE: JMPR (1965, 1966) ","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
10265-92-6,Methamidophos,Acute toxicity (oral) - Category 2,,,,"Based on the rat LD50 (oral route) value of 16mg/kg representing the lower of the two testing data, 21mg/kg (PATTY (4th, 2000)) and 16mg/kg (PATTY (4th, 1999)).
","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
102851-06-9,"alpha-cyano-3-phenoxybenzyl N-(2-chloro-alpha,alpha,alpha-trifluoro-p-tolyl)-D-valinate",Acute toxicity (oral) - Category 3,,,,"Based on the rat LD50 (oral route) value of 261mg/kg (Agricultural Chemical Registration Data (1988)).
","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
103-50-4,Dibenzyl ether,Acute toxicity (oral) - Category 5,,,,"Based on the rat LD50 (oral route) value of 2,500mg/kg (RTECS (2006)).","Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
103-69-5,N-Ethylaniline,Acute toxicity (oral) - Category 4,,,,"Based on the LD50 value of 382mg/kg calculated from the testing data of rat LD50 (oral route) of 1,100mg/kg (PATTY (4th, 1999)), 382mg/kg and 553mg/kg (Report by the Ministry of Health, Labour and Welfare (1996)).","Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
10311-84-9,"2-chloro-1-phthalimidoethyl O,O-diethyl phosphorodithioate",Acute toxicity (oral) - Category 2,Skull and crossbones,Danger,Fatal if swallowed,"Considering the data of LD50= 21mg/kg obtained from statistical processing of 6 rat data of JMPR(Joint Meeting on Pesticide Residures-Monographs&Evaluations)363 (WHO/IPCS, 1976), which was equivalent to Priority 1, it was classified as category 2.","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
10325-94-7,Cadmium nitrate,Acute toxicity (oral) - Category 3,,,,Based on the mouse LD50 (oral route) of 100mg/kg (EHC 134 (1992)).,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10361-37-2,Barium chloride,Acute toxicity (oral) - Category 3,,,,"Based on the LD50 value of 118mg/kg calculated from the testing data of rat LD50 (oral route) of 118mg/kg (EHC 107 (1990)), 132mg/kg and 220mg/kg (CERI Hazard Data 2001-56 (2002)).","Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
10380-28-6,bis(8-quinolinolato)copper,Acute toxicity (oral) - Category 4,,,,"Based on the rat LD50 (oral route) value of 500mg/kg (Agricultural Chemical Registration Data (1986)).
","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
104-94-9,p-Anisidine,Acute toxicity (oral) - Category 4,Exclamation mark,Warning,Harmful if swallowed,"It was set as Category 4 based on Rat LD50 value: 1400mg/kg (ACGIH 7th, 2001, IARC 27, 1982, Japan Society for Occupational Health recomendation, 1996).","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10415-75-5,dimercury dinitrate,Acute toxicity (oral) - Category 3,Skull and crossbones,Danger,Toxic if swallowed,SPECIES: Rat; ENDPOINT: LD50;VALUE:170mg/kg; REFERENCE SOURCE: RTECS (2004),"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
10453-86-8,"(5-Benzyl-3-furyl)methyl 2,2-dimethyl-3-(2-methylprop-1-en-1-yl)cyclopropanecarboxylate",Acute toxicity (oral) - Category 4,Exclamation mark,Warning,Harmful if swallowed,"There is a description that LD50 values of the oral administration test employing a rat are >5,000 mg/kg, 1,987 mg/kg, 960 mg/kg (EHC 92 (1989)), >2,500 mg/kg, 1,721 mg/kg, 1,244 mg/kg (EHC 92 (1989), HSDB (2001)), and 1,400 mg/kg (HSDB (2001)). Since all definite values corresponded to Category 4, it was classified into Category 4. In addition, in EU classification, it is Xn; R22 (EU-Annex I). ",2009.3.31
105-16-8,2-(Diethylamino)ethyl methacrylate,Acute toxicity (oral) - Category 5,,,,"Based on the rat LD50 (oral route) of 4,696mg/kg (CERI Hazard Data 2001-64 (2002)).","Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
105-39-5,Ethyl chloroacetate,Acute toxicity (oral) - Category 3,Skull and crossbones,Danger,Toxic if swallowed,"Based on the calculated LD50 = 96.8mg/kg based on the rat oral LD50 values: 50, 180, 180 and  235mg/kg (PATTY (5th, 2001), RTECS (1999), IUCLID (2000)), the substance was classified as Category 3.","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
105-46-4,sec-butyl acetate,Acute toxicity (oral) - Category 5,-,Warning,May be harmful if swallowed,"SPECIES: Rat
ENDPOINT: LD50
VALUE: 3200 mg/kg
REFERENCE SOURCE: RTECS (2004)","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
105-60-2,epsilon-caprolactam,Acute toxicity (oral) - Category 4,,,,"Based on the LD50 value of 1,210mg/kg calculated from the testing data of rat LD50 (oral route) of 1,475mg/kg (SIDS (2003)), 1,876mg/kg (SIDS (2003)), 1,210mg/kg (MOE Risk Assessment vol. 2 (2003)).","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
105-67-9,"2,4-Xylenol",Acute toxicity (oral) - Category 5,,,,"Based on the rat LD50 (oral route) value of 2,300mg/kg representing the lower of the two testing data, 3,200mg/kg (RTECS (2006)) and 2,300mg/kg (HSDB (2003)).","Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
105779-78-0,"5-Chloro-N-{2-[4-(2-ethoxyethyl)-2,3-dimethylphenoxy]ethyl}-6-ethylpyrimidine-4-amine; Pylimidifen",Acute toxicity (oral) - Category 3,,,,Based on the rat LD50 (oral route) value of 115mg/kg (Agricultural Chemical Registration Data (1993)).,"Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
105827-78-9,1-[(6-Chloro-3-pyridyl)methyl]imidazolidine-2-(N-nitro)imine,Acute toxicity (oral) - Category 4,Exclamation mark,Warning,Harmful if swallowed,"By the technical guidelines, we compared the LD50 values for male and female rats in two tests (Agricultural Chemical Registration Data). Then we selected the lower value for each test (424mg/kg and 410mg/kg). Based on the lower of these two values (LD50=410mg/kg), the substance was classified as Category 4.","Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
10588-01-9,Sodium dichromate,Acute toxicity (oral) - Category 2,Skull and crossbones,Danger,Fatal if swallowed,"SPECIES: Rat
ENDPOINT: LD50
VALUE: 46 mg/kg
REFERENCE SOURCE: EU-RAR (2005)","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
106-35-4,heptan-3-one,Acute toxicity (oral) - Category 5,-,Warning,May be harmful if swallowed,"SPECIES: Rat
ENDPOINT: LD50
VALUE: 2760 mg/kg
REFERENCE SOURCE: ACGIH (2003), PATTY (4th, 1994)","Oct. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
106-41-2,p-Bromophenol,Acute toxicity (oral) - Category 4,,,,Based on the mouse LD50 (oral route) value of 523mg/kg (RTECS (2006)).,"Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
106-42-3,p-Xylene,Acute toxicity (oral) - Category 5,,,,"Based on the testing data of rat LD50 (oral route) of 4,029mg/kg (EHC 190 (1997)).","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
106-44-5,p-Cresol,Acute toxicity (oral) - Category 3,,,,Based on the testing data of rat LD50 (oral route) of 207mg/kg (EHC 168 (1995)).,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
106-46-7,p-Dichlorobenzene,Acute toxicity (oral) - Category 5,,,,"Based on the rat LD50 (oral route) value of 2,512mg/kg representing the lower of the two testing data, 2,512mg/kg (NICNAS (2000)) and 2,515mg/kg (DFGOT vol. 4 (1992)).","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
106-47-8,p-Chloroaniline,Acute toxicity (oral) - Category 3,,,,Based on the testing data of rat LD50 (oral route) of 300mg/kg (MOE Risk Assessment vol. 2 (2003)).,"Aug. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
106-49-0,p-Toluidine,Acute toxicity (oral) - Category 4,,,,"Based on the LD50 value of 465mg/kg calculated from the testing data of rat LD50 (oral route) of 336mg/kg, 794mg/kg (CERI Hazard Data 99-6 (2000)), 760mg/kg and 656mg/kg (CERI-NITE Hazard Assessment No.203 (2004)).","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
106-50-3,p-Phenylenediamine,Acute toxicity (oral) - Category 3,,,,"Based on the rat LD50 (oral route) value of 80mg/kg representing the lower of the two testing data, 80mg/kg and 98mg/kg (CERI Hazard Data 2001-31 (2002)).  ","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
106-51-4,p-benzoquinone,Acute toxicity (oral) - Category 3,Skull and crossbones,Danger,Toxic if swallowed,"Category 3 based on SPECIES: Rat; ENDPOINT: LD50; VALUE: :130mg/kg; REFERENCE SOURCE: ACGIH 7th (2001), IARC 15 (1997)","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
106-87-6,7-oxa-3-oxiranylbicyclo[4.1.0]heptane,Acute toxicity (oral) - Category 5,-,Warning,May be harmful if swallowed,"Category 5 based on SPECIES: Rat; ENDPOINT: LD50; VALUE: :2830mg/kg (ACGIH 7th, 2001; DFGOT vol.1, 1992) and 2130mg/kg (NTP TR 362, 1989)","Oct. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
106-88-7,"Butane, 1,2-epoxy-",Acute toxicity (oral) - Category 4,Exclamation mark,Warning,Harmful if swallowed,"It was set as Category 4 based on LD50= 659.3mg/kg obtained from the calculation of rat four examinations (SIDS (2001), DFGOT vol.5 (1990)).","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
106-89-8,Epichlorohydrin,Acute toxicity (oral) - Category 3,,,,"Based on the rat LD50 (oral route) value of 90mg/kg representing the lower of the two testing data, 90mg/kg (MOE Risk Assessment vol. 1, 2002) and 260mg/kg (EHC 33 (1984)).","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
106-91-2,"2,3-Epoxypropyl methacrylate",Acute toxicity (oral) - Category 4,,,,"Based on the rat LD50 (oral route) value of 500mg/kg representing the lower of the two testing data, 597mg/kg (SIDS (2002) and 500mg/kg (MOE Risk Assessment vol. 3 (2004)).","Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
106-92-3,"1-Allyloxy-2,3-epoxypropane",Acute toxicity (oral) - Category 4,,,,"Based on the rat LD50 (oral route) of 830mg/kg (PATTY (4th, 1999)).","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
106-93-4,"Ethane, 1,2-dibromo-",Acute toxicity (oral) - Category 3,Skull and crossbones,Danger,Toxic if swallowed,"Rat LD50 values of 146 mg/kg (male), 117 mg/kg (female), and 140 mg/kg (male and female) (EHC 177 (1996)) corresponded to classification target, and it was set as Category 3 based on the lowest value of 117 mg/kg.","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
106-95-6,3-Bromo-1-propene; Allyl bromide,Acute toxicity (oral) - Category 3,,,,Based on the rat LD50 (oral route) value of 120mg/kg (RTECS (2006)).,"Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
106917-52-6,"2',4-Dichloro-alpha,alpha,alpha-trifluoro-4'-nitro-m-toluenesulfonanilide; Flusulfamide",Acute toxicity (oral) - Category 3,,,,"Based on the LD50 (oral route) value of 132mg/kg in rat acute toxicity studies (Agricultural Chemical Registration Data (1990)).
","Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
107-02-8,Acrolein,Acute toxicity (oral) - Category 2,,,,Based on the rat LD50 (oral route) of 42mg/kg (DFGOT vol.16 (2001)). ,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
107-05-1,3-Chloropropene; Allyl chloride,Acute toxicity (oral) - Category 4,,,,Based on the testing data of rat LD50 (oral route) of 450mg/kg (SIDS (2003)).,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
107-06-2,"1,2-Dichloroethane",Acute toxicity (oral) - Category 4,,,,"Based on the LD50 value of 695mg/kg calculated from the testing data of rat LD50 (oral route) of 680mg/kg (EHC 62, 1987), 850mg/kg (EHC 62, 1987) and 967mg/kg (SIDS, 2002).","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
107-07-3,2-Chloroethanol,Acute toxicity (oral) - Category 3,Skull and crossbones,Danger,Toxic if swallowed,"SPECIES: Rat ENDPOINT: LD50 VALUE: 71mg/kg REFERENCE SOURCE: ACGIH (2001), RTECS (2004)","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
107-11-9,allylamine,Acute toxicity (oral) - Category 3,Skull and crossbones,Danger,Toxic if swallowed,"Between rat LD50 values of 102mg/kg and 106mg/kg (all are PATTY (5th, 2001)), the higher toxic value (102mg/kg) was adopted, and it was classified as category 3.","Mar. 15, 2007 (Environmental Hazards: May 24, 2006)"
107-13-1,Acrylonitrile,Acute toxicity (oral) - Category 3,,,,"Based on the LD50 value of 87mg/kg calculated from the testing data of rat LD50 (oral route) of 93mg/kg, 101mg/kg, 128mg/kg, 82mg/kg, 86mg/kg, 84mg/kg, 72mg/kg, 78mg/kg and 186mg/kg"" (EHC 28, 1983).
","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
