CASRN,Name,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
684-16-2,hexafluoroacetone,Gases under pressure - Liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,Critical temp: >-50degC (Partially liquid at temperatures above -50degC),"Nov. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
74-82-8,Methane,Gases under pressure - Compressed gas or Refrigerated liquefied gas,Gas cylinder,Warning,"Contains gas under pressure; may explode if heated
Contains refrigerated gas; may cause cryogenic burns or injury","According to its physical state when packed, classified in; 
Compressed gas: entirely gaseous at -50degC or, 
Refrigerated liquefied gas: partially liquid because of its low temperature","Mar. 23, 2006"
74-83-9,Bromomethane; Methyl bromide,Gases under pressure - Liquefied gas,,,,"The boiling point is 4degC (ICSC (1999)), and the critical temperature is 194degC (Merck (13th, 2001)) - i.e., liquefied gas. Classified into Division 2.3 (UN#1062 (those not exceeding chloropicrin 2%)) (UN Recommendations on the Transport of Dangerous Goods) 
","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
74-84-0,Ethane,Gases under pressure - Compressed gas or Refrigerated liquefied gas,Gas cylinder,Warning,"Contains gas under pressure; may explode if heated
Contains refrigerated gas; may cause cryogenic burns or injury","According to its physical state when packed, classified in; 
Compressed gas: entirely gaseous at -50degC or, 
Refrigerated liquefied gas: partially liquid because of its low temperature","Mar. 23, 2006"
74-85-1,Ethene,Gases under pressure - Compressed gas or Refrigerated liquefied gas,Gas cylinder,Warning,"Contains gas under pressure; may explode if heated
Contains refrigerated gas; may cause cryogenic burns or injury","According to its physical state when packed, classified in; 
Compressed gas: entirely gaseous at -50degC or, 
Refrigerated liquefied gas: partially liquid because of its low temperature","Mar. 23, 2006"
74-86-2,Ethyne,Gases under pressure - Dissolved gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,"Gas compressed and dissolved in the liquid phase solvent. (ICSC(J), 2003) ","Feb. 20, 2007 (Environmental Hazards: Mar. 23, 2006)"
74-87-3,Chloromethane; Methyl chloride,Gases under pressure - Liquefied gas,,,,"The boiling point is -24.2degC (ICSC 2000), and the critical temperature is 143.10degC (HSDB 2005) - i.e., liquefied gases. Classified into Division 2.1 (UN#1063) (UN Recommendations on the Transport of Dangerous Goods)","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
74-89-5,Methanamine,Gases under pressure - Low pressure liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,Critical temp: 156.9degC,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
74-93-1,Methanethiol,Gases under pressure - Low pressure liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,Critical temp: 196.8degC,"Aug. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
74-98-6,Propane,Gases under pressure - Liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,Critical temp: >-50degC (Partially liquid at temperatures above -50degC),"Mar. 23, 2006"
74-99-7,1-Propyne,Gases under pressure - Low pressure liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,Critical temp: 400.8 K (127.6degC),"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
7446-09-5,Sulfur dioxide,Gases under pressure - Liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,Critical temp: >-50degC (Partially liquid at temperatures above -50degC),"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
75-00-3,Chloroethane,Gases under pressure - Liquefied gas,,,,"The boiling point is 12.5degC (ICSC 2004), and the critical temperature is 187.2degC (Merck (13th, 2001)) - i.e., liquefied gas. Classified into Division 2.1 (UN#1037) (UN Recommendations on the Transport of Dangerous Goods)","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
75-01-4,Chloroethylene; Vinyl chloride,Gases under pressure - Liquefied gas,,,,"The boiling point is -13degC (ICSC 2000), and the critical temperature is 151.5degC (HSDB 2005) - i.e., liquefied gas. Those containing stabilizers are classified into Division 2.1(UN#1086) (UN Recommendations on the Transport of Dangerous Goods)
","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
75-02-5,"Ethene, fluoro-",Gases under pressure - Liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,Critical temp: >-50degC (Partially liquid at temperatures above -50degC),"Oct. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
75-04-7,Ethanamine,Gases under pressure - Low pressure liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,"Low pressure liquefied gas because of ""the critical temp: 182.9degC or 183degC"" (HSDB, 2002) .","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
75-21-8,Ethylene oxide,Gases under pressure - Liquefied gas,,,,"The boiling point is 11degC (ICSC 2004), and the critical temperature is 196degC(HSDB 2005) -- i.e., liquefied gases. Classified into Category 2.1and Category 2.3 (UN# 1040) (UN Recommendations on the Transport of Dangerous Goods)","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
75-38-7,"Ethene, 1,1-difluoro-",Gases under pressure - Liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,Critical temp: >-50degC (Partially liquid at temperatures above -50degC),"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
75-43-4,dichlorofluoromethane,Gases under pressure - Liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,Liquefied gas because of the critical temp: >65degC. ,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
75-44-5,Phosgene,Gases under pressure - Liquefied gas,,,,"The boiling point is 8degC (ICSC (2004)), and the critical temperature is 182degC (HSDB (2006)) - i.e., liquefied gas. Classified into Division 2.3 and Class 8 (UN#1076) (UN Recommendations on the Transport of Dangerous Goods)","Dec. 19, 2006 (Environmental Hazards: Mar. 31, 2006)"
75-45-6,"Methane, chlorodifluoro-",Gases under pressure - Liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,Liquefied gas because of the critical temp: >65degC and the steam pressure: >3 atm at 20degC,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
75-50-3,Trimethylamine,Gases under pressure - Liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,Critical temp: >-50degC (Partially liquid at temperatures above -50degC),"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
75-63-8,"Methane, bromotrifluoro-",Gases under pressure - Liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,Critical temp: >-50degC (Partially liquid at temperatures above -50degC),"Nov. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
75-68-3,"1-Chloro-1,1-difluoroethane; HCFC-142b",Gases under pressure - Liquefied gas,,,,"The boiling point is -9degC (HSDB (2006)), and the critical temperature is 137.1degC (HSDB (2006)) - i.e., liquefied gas. Classified into Divisions 2.1 (UN#2517) (UN Recommendations on the Transport of Dangerous Goods)","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
75-71-8,"Methane, dichlorodifluoro-",Gases under pressure - Low pressure liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,Low pressure liquefied gas because of the critical temp: >65degC.,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
75-72-9,Chlorotrifluoromethane; CFC-13,Gases under pressure - Liquefied gas,,,,"The boiling point is -84degC (ICSC (1999)), and the critical temperature is 28.8degC (HSDB(2006)) - i.e., liquefied gas. ","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
76-14-2,"Ethane, 1,2-dichlorotetrafluoro-",Gases under pressure - Liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,Transported as refrigerated liquefied gases (UNRTDG),"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
76-15-3,"Ethane, chloropentafluoro-",Gases under pressure - Liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,Low pressure liquefied gas because of the critical temp: >65degC.,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
7637-07-2,"Borane, trifluoro-",Gases under pressure - Compressed gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,"Compressed gas because of ""the critical temp: -12.25degC to -12.25degC"" (Hommel, 1991: HSDB, 2005), ""the critical pressure: 4.98MPa"" (HSDB, 2005), and the state in a usual circulation.","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
7647-01-0,Hydrochloric acid,Gases under pressure - Liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,"UNRTDG No. 1050, Class: 2.3. ""Critical temp: 51 degC"" (Hommel, 1991)","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
7664-41-7,Ammonia,Gases under pressure - Liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,"Critical temp: 132.4degC (Merck, 13th, 2001)","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
7778-39-4,Arsenic acid,Gases under pressure - Not applicable (aqueous solution),,,,"Classified as ""liquid"" according to GHS definition (aqueous solution)","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
7782-41-4,Fluorine,Gases under pressure - Compressed gas,,,,"The boiling point is -188degC (ICSC (2004)) and the critical temperature is -129degC (Merck (13th, 2001)), corresponding to ""compressed gases"" Those compressed are classified into Division 2.3  (UN#1045) (UN Recommendations on the Transport of Dangerous Goods).","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
7782-50-5,Chlorine,Gases under pressure - Low pressure liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,Low pressure liquefied gas because of the critical temp: 143.8 to 144degC.,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
7782-65-2,germanium tetrahydride,Gases under pressure - High pressure liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,"Critical temp: 34.85degC (Hommel, 1991)","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
7783-06-4,Hydrogen sulfide,Gases under pressure - Liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,Critical temp: >-50degC (Partially liquid at temperatures above -50degC),"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
7783-07-5,Dihydrogen selenide,Gases under pressure - Liquefied gas,,,,"The boiling point is -41degC (ICSC 2004), and the critical temperature is 137degC (Merck (13th, 2001)) - i.e., liquefied gas. Classified into Divisions 2.1and 2.3 (UN#2202) (UN Recommendations on the Transport of Dangerous Goods)","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
7783-55-3,phosphorous trifluoride,Gases under pressure - Liquefied gas(High pressure liquefied gas),Gas cylinder,Warning,Contains gas under pressure; may explode if heated,"High pressure liquefied gas because of ""the critical temp: -2.05degC""(Merck, 13th, 2001)","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
7783-60-0,sulphur tetrafluoride,Gases under pressure - Liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,"Liquefied gas because of ""the boiling point: -40degC"" (ICSC(J), 2003) and partially liquid at temperatures above -50degC.","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
7783-79-1,Selenium hexafluoride,Gases under pressure - Liquefied gas(Low pressure liquefied gas),Gas cylinder,Warning,Contains gas under pressure; may explode if heated,"Low pressure liquefied gas because of ""the triple point: -34.6degC"" (Lide, 85th, 2004) and ""the critical temp: 72.35degC""(HSDB, 2003)","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
7783-82-6,Tungsten hexafluoride,Gases under pressure - Liquefied gas,,,,"The boiling point is 17.5degC (Merck (13th, 2001)) and the critical temperature is 171degC (Lide (84th, 2003)), i.e., liquefied gas. Classified into Division 2.3 (UN#2196) (UN Recommendations on the Transport of Dangerous Goods)","Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
7784-36-3,pentafluoroarsorane,Gases under pressure - Compressed gas or Liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,"Not specified whether it is a compressed or liquefied gas, due to lack of data on a critical temp, though ""the boiling point is -53.2degC""(Merck, 13th, 2001)","Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
7784-42-1,Arsine,Gases under pressure - Liquefied gas,,,,"The boiling point is -62degC (ICSC (2004)) and the critical temperature is 100degC (HSDB (2006)), i.e., liquefied gas. Classified into Division 2.1 and Division 2.3 (UN#2188) (UN Recommendations on the Transport of Dangerous Goods).  ","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
7790-91-2,chlorine trifluoride,Gases under pressure - Liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,"Liquefied gas because of ""the critical temp: 153degC"" (Weiss, 2nd, 1985). ","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
7803-51-2,phosphine,Gases under pressure - Compressed gas or Liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,"According to its physical state when packed, classified in; 
Compressed gas: entirely gaseous at -50degC or, 
Liquefied gas: partially liquid at temperatures above -50degC (a critical temp. >-50degC)","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
7803-62-5,silane,Gases under pressure - Compressed gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,"Compressed gas because of ""the critical temp: -4degC"" (Hommel, 1991) and the actual state in a usual circulation. ","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
ID384Chlohane,Chlorotrifluoroethane,"Gases under pressure - Liquefied gas (1-chloro-2,2,2-trifluoroethane)",,,,"No data available on critical temperature. Classified into Division 2.2. (UN#1983 (1-chloro-2,2,2-trifluoroethane), used as refrigerant gas) by the UN Recommendation on the Transport of Dangerous Goods.","Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
