CASRN,Name,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
39185-89-2,"1,1,2,2-Tetrachloro-1-nitroethane",Explosives - Classification not possible,-,-,-,"Classification not possible due to lack of data on an explosibility, though the substance contains N-O bonds as chemical groups with explosive properties present and has the oxygen balance calculated at -18.8, higher than -200 of the criteria.","Jan. 23, 2007 (Environmental Hazards: Mar. 31, 2006)"
40487-42-1,"N-(1-Ethylpropyl)-2,6-dinitro-3,4-xylidine; Pendimethalin",Explosives - Classification not possible,,,,"Classification not possible in the absence of data on the decomposition energy, though the substance contains nitro groups with its oxygen budget calculated at  -179, and exothermically decomposes at 230-240degC (Agricultural Chemical Registration Data (2004)).
","Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
4607-81-2,"1,1,2-Trichloro-2-nitroethene",Explosives - Classification not possible,-,-,-,"Classification not possible due to lack of data on an explosibility, though containing N-O bonds as chemical groups with explosive properties present.","Jan. 23, 2007 (Environmental Hazards: Mar. 31, 2006)"
53558-25-1,1-(4-nitrophenyl)-3-(3-pyridylmethyl)urea,Explosives - Classification not possible,-,-,-,"Classification not possible due to lack of data, though the substance contains N-O bonds as chemical groups with explosive properties present and has the oxygen balance calculated at -170.4, higher than -200 of the criteria.","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
542-92-7,"1,3-Cyclopentadiene",Explosives - Classification not possible,-,-,-,"Classification not possible due to lack of data, though the substance contains unsaturated C=C bonds as chemical groups associated with explosive properties present.","Jun. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
56-38-2,Parathion,Explosives - Classification not possible,-,-,-,No data available,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
56-75-7,"2,2-Dichloro-N-[2-hydroxy-1-(hydroxymethyl)-2-(4-nitrophenyl)ethyl]acetamide; Chloramphenicol",Explosives - Classification not possible,,,,Classification not possible due to lack of data on the kick-off temperature and decomposition energy (though the substance contains nitro groups with its oxygen budget calculated at -114).,"Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
569-61-9,"4,4'-(4-iminocyclohexa-2,5-dienylidenemethylene)dianiline hydrochloride",Explosives - Classification not possible,-,-,-,No data available,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
57-74-9,"chlordane , pur",Explosives - Classification not possible,-,-,-,No data available,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
59-89-2,N-Nitrosomorpholine,Explosives - Classification not possible,-,-,-,No data available,"Sep. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
59669-26-0,"dimethyl N,N'-[thiobis[(methylimino)carbonyloxy]]bis(thioimidoacetate)",Explosives - Classification not possible,-,-,-,"Classification not possible due to lack of data, though the substance contains N-O bonds as chemical groups with explosive properties present and has the oxygen balance calculated at -139.9, higher than -200 of the criteria.","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
60-34-4,methylhydrazine,Explosives - Classification not possible,-,-,-,Classification not possible due to lack of data on an exothermic decomposition energy.,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
600-25-9,1-chloro-1-nitropropane,Explosives - Classification not possible,-,-,-,"Classification not possible due to lack of data. The substance could be classified as explosives since it contains N-O bonds as chemical groups associated with explosive properties present and has oxygen balance calculated at -84.2, higher than -200 of the criteria.","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
602-38-0,"1,8-dinitronaphthalene",Explosives - Classification not possible,-,-,-,"Although the nitro group of the atom group associated with explosive properties is included and the calculation value of oxygen balance is also more than -200 (-139), classification is not possible with no data. ",2009.3.31
605-71-0,"1,5-dinitronaphthalene",Explosives - Classification not possible,-,-,-,"Although the nitro group of the atom group associated with explosive properties is included and the calculation value of oxygen balance is also more than -200 (-139), classification is not possible with no data. ",2009.3.31
609-89-2,"2,4-dichloro-6-nitrophenol",Explosives - Classification not possible,-,-,-,"Classification not possible due to lack of data and without UNRTDG Number, though the substance contains N-O bonds as chemical groups with explosive properties present and has the oxygen balance calculated at -80.8.2, higher than -200 of the criteria.","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
615-53-2,ethyl methylnitrosocarbamate,Explosives - Classification not possible,-,-,-,"Classification not possible due to lack of data by regulated test methods, though ""the substance explodes when distilling under normal pressure"" (Bretherick (J), 5th, 1998). ","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
627-44-1,diethylmercury,Explosives - Classification not possible,-,-,-,No data available,"Mar. 23, 2006"
6358-53-8,"1-[(2,5-dimethoxyphenyl)azo]-2-naphthol",Explosives - Classification not possible,-,-,-,No data available,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
64047-88-7,"Sodium 2,4-dichloro-6-nitrophenolate",Explosives - Classification not possible,-,-,-,"Classification not possible due to lack of data and without UNRTDG Number, though the substance contains N-O bonds as chemical groups with explosive properties present and has the oxygen balance calculated at -69.6, higher than -200 of the criteria.","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
6420-47-9,"2-sec-butyl-4,6-dinitrophenol, compound with 2,2',2''-nitrilotriethanol (1:1)",Explosives - Classification not possible,-,-,-,"Classification not possible due to lack of data on an explosibility, though containing N-O bonds as chemical groups with explosive properties present.","Jan. 23, 2007 (Environmental Hazards: Mar. 31, 2006)"
6423-43-4,"1,2-Propanediol, dinitrate",Explosives - Classification not possible,-,-,-,No data available,"Sep. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
64741-88-4,"Distillates (petroleum), solvent-refined heavy paraffinic; Distillates (petroleum), solvent-refined light naphthenic; Lubricating oils (petroleum), C15-30, hydrotreated neutral oil-based; Lubricating oils (petroleum), C20-50, hydrotreated neutral oil-based; Petroleum; Paraffin oils",Explosives - Classification not possible,-,-,-,No data available,"Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
64741-97-5,"Distillates (petroleum), solvent-refined heavy paraffinic; Distillates (petroleum), solvent-refined light naphthenic; Lubricating oils (petroleum), C15-30, hydrotreated neutral oil-based; Lubricating oils (petroleum), C20-50, hydrotreated neutral oil-based; Petroleum; Paraffin oils",Explosives - Classification not possible,-,-,-,No data available,"Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
7085-85-0,"2-Propenoic acid, 2-cyano-, ethyl ester",Explosives - Classification not possible,-,-,-,No data available,"Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
72623-86-0,"Distillates (petroleum), solvent-refined heavy paraffinic; Distillates (petroleum), solvent-refined light naphthenic; Lubricating oils (petroleum), C15-30, hydrotreated neutral oil-based; Lubricating oils (petroleum), C20-50, hydrotreated neutral oil-based; Petroleum; Paraffin oils",Explosives - Classification not possible,-,-,-,No data available,"Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
72623-87-1,"Distillates (petroleum), solvent-refined heavy paraffinic; Distillates (petroleum), solvent-refined light naphthenic; Lubricating oils (petroleum), C15-30, hydrotreated neutral oil-based; Lubricating oils (petroleum), C20-50, hydrotreated neutral oil-based; Petroleum; Paraffin oils",Explosives - Classification not possible,-,-,-,No data available,"Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
74222-97-2,"methyl 2-[[[[(4,6-dimethyl-2-pyrimidinyl)amino]carbonyl]amino]sulphonyl]benzoate",Explosives - Classification not possible,-,-,-,No data available,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
75-91-2,tert-Butyl hydroperoxide,Explosives - Classification not possible,,,,"Classification not possible due to lack of data on the kick-off temperature and decomposition energy, though being a peroxide with its oxygen budget calculated at -195. Heating may cause an explosion according to HSDB (2006).","Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
7572-29-4,Dichloroacetylene,Explosives - Classification not possible,-,-,-,No data available,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
78-59-1,"2-Cyclohexen-1-one, 3,5,5-trimethyl-",Explosives - Classification not possible,-,-,-,"Classification not possible due to lack of data, though the substance contains unsaturated C-C bonds as chemical groups associated with explosive properties present.","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
782-74-1,"1,2-Bis(2-chlorophenyl)hydrazine",Explosives - Classification not possible,-,-,-,"Although the N-N group is included in chemical structure and the calculation value of oxygen balance is -183, classification is not possible with no data of onset of exothermic decomposition and decomposition energy. ",2009.3.31
79622-59-6,"3-chloro-N-(3-chloro-5-trifluoromethyl-2-pyridyl)-alpha,alpha,alpha-trifluoro-2,6-dinitro-p-toluidine",Explosives - Classification not possible,,,,"Classification not possible due to lack of data on the kick-off temperature and decomposition energy, though the substance contains nitro groups with its oxygen budget calculated at -83. 
","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
80-51-3,"Benzenesulfonic acid, 4,4'-oxybis-, dihydrazide",Explosives - Classification not possible,-,-,-,"Classification not possible due to lack of data. The substance could be classified as explosives since it contains nitrogen atoms adjacent to each other (Sulfonyl hydrazides) as chemical groups associated with explosive properties present and has oxygen balance calculated at -84.2, higher than -200 of the criteria.","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
8002-05-9,"Distillates (petroleum), solvent-refined heavy paraffinic; Distillates (petroleum), solvent-refined light naphthenic; Lubricating oils (petroleum), C15-30, hydrotreated neutral oil-based; Lubricating oils (petroleum), C20-50, hydrotreated neutral oil-based; Petroleum; Paraffin oils",Explosives - Classification not possible,-,-,-,No data available,"Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
8002-74-2,Paraffin wax,Explosives - Classification not possible,-,-,-,No data available,"Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
8003-34-7,Pyrethrins and Pyrethroids,Explosives - Classification not possible,-,-,-,Classification not possible due to lack of data on the compounds (expert judgment required because Pyrethrin containing diene structure of the target for the chemical groups with explosive properties present is only a part of a Pyrethrum structure).,"Aug. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
8012-95-1,"Distillates (petroleum), solvent-refined heavy paraffinic; Distillates (petroleum), solvent-refined light naphthenic; Lubricating oils (petroleum), C15-30, hydrotreated neutral oil-based; Lubricating oils (petroleum), C20-50, hydrotreated neutral oil-based; Petroleum; Paraffin oils",Explosives - Classification not possible,-,-,-,No data available,"Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
8048-12-2,Alkanolamine salts of the ethanol and isopropanol series,Explosives - Classification not possible,-,-,-,"Classification not possible due to lack of data on an explosibility, though containing N-O bonds as chemical groups with explosive properties present.","Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
8050-09-7,Rosin,Explosives - Classification not possible,-,-,-,Neither constituents nor structures are identified. ,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
8063-06-7,Curare,Explosives - Classification not possible,-,-,-,No data available,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
81-81-2,Warfarin,Explosives - Classification not possible,-,-,-,"Classification not possible due to lack of data, though the substance contains unsaturated C=C bonds as chemical groups associated with explosive properties present.","Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
82-68-8,Pentachloronitrobenzene,Explosives - Classification not possible,-,-,-,No data available,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
821-10-3,"1,4-dichlorobut-2-yne",Explosives - Classification not possible,-,-,-,"Classification not possible due to lack of data and without UNRTDG Number, though the substance contains unsaturated C-C bonds chemical groups with explosive properties present.","Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
83130-01-2,alanycarb,Explosives - Classification not possible,-,-,-,"Classification not possible due to lack of data, though the substance contains N-O bonds as chemical groups with explosive properties present and has the oxygen balance calculated at -186.2, higher than -200 of the criteria.","Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
85-00-7,"1,1'-Ethylene-2,2'-bipyridinium dibromide",Explosives - Classification not possible,-,-,-,No data available,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
86-50-0,"O,O-dimethyl-4-oxobenzotriazin-3-ylmethyl phosphorodithioate",Explosives - Classification not possible,-,-,-,No data available,"Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
89-61-2,"1,4-Dichloro-2-nitrobenzene",Explosives - Classification not possible,,,,"Classification not possible due to lack of data on the kick-off temperature and decomposition energy (though the substance contains nitro groups, with its oxygen budget calculated at -96).","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
89784-60-1,pyraclofos,Explosives - Classification not possible,-,-,-,"Classification not possible due to lack of data, though the substance contains nitrogen atoms adjacent to each other as chemical groups with explosive properties present and has the oxygen balance calculated at -168.5, higher than -200 of the criteria.","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
97-93-8,"Aluminium, triethyl-",Explosives - Classification not possible,-,-,-,No data available,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
999-61-1,2-hydroxypropyl acrylate,Explosives - Classification not possible,-,-,-,"Classification not possible due to lack of data, though the substance contains unsaturated C-C bonds as chemical groups associated with explosive properties present.","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
ID1375Fenasulf,Fenaminosulf,Explosives - Classification not possible,-,-,-,"Classification not possible due to lack of data, though the substance contains nitrogen atoms adjacent to each other as chemical groups with explosive properties present. (No data was available with no CAS number for this substance. Refer to the sodium salt, para-Dimethylaminobenzenediazosodium sulfonate (ID No.1376, CAS No.140-56-7))","Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
ID723Coalhtha,Coal tar naphtha,Explosives - Classification not possible,-,-,-,No data available,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
ID819petrther,petroleum ether,Explosives - Classification not possible,-,-,-,No data available,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
ID820Petrhtha,Petroleum naphtha,Explosives - Classification not possible,-,-,-,No data available,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
ID821Petrzine,Petroleum benzine,Explosives - Classification not possible,-,-,-,No data available,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10049-04-4,Chlorine dioxide,Flammable gases - Classification not possible,-,-,-,"No data available by regulated test methods (there is a lot of information with ""high explosive"" and ""Non-combustible"")","Sep. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
1694-09-3,"[4-[[4-(dimethylamino)phenyl][4-[ethyl(3-sulphonatobenzyl)amino]phenyl]methylene]cyclohexa-2,5-dien-1-ylidene](ethyl)(3-sulphonatobenzyl)ammonium, sodium salt",Flammable gases - Classification not possible,-,-,-,No data available,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
382-21-8,Perfluoroisobutylene,Flammable gases - Classification not possible,-,-,-,No data available,"Nov. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
7783-55-3,phosphorous trifluoride,Flammable gases - Classification not possible,-,-,-,No data available,"Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
10049-04-4,Chlorine dioxide,Oxidizing gases - Classification not possible,-,-,-,"No data available by regulated test methods (""strong oxidizing agent""according to some reports)","Sep. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
106-99-0,"1,3-Butadiene",Oxidizing gases - Classification not possible,,,,"No data available Those containing stabilizers are classified into Division 2.1 (UN Recommendations on the Transport of Dangerous Goods, UN#1010)","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
116-14-3,Tetrafluoroethylene,Oxidizing gases - Classification not possible,,,,No data available. Those containing stabilizers are classified into Division 2.1 (UN#1081) (UN Recommendations on the Transport of Dangerous Goods).,"Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
1320-37-2,Dichlorotetrafluoroethane,Oxidizing gases - Classification not possible,,,,No data available,"Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
19287-45-7,diborane(6),Oxidizing gases - Classification not possible,-,-,-,No data available,"Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
22441-45-8,arsenic pentachloride,Oxidizing gases - Classification not possible,-,-,-,No data available,"Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
2837-89-0,"2-Chloro-1,1,1,2-tetrafluoroethane; HCFC-124",Oxidizing gases - Classification not possible,,,,No data available,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
382-21-8,Perfluoroisobutylene,Oxidizing gases - Classification not possible,-,-,-,No data available,"Nov. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
463-51-4,Ketene,Oxidizing gases - Classification not possible,-,-,-,No data available,"Jun. 20, 2006 (Environmental Hazards: Jan. 25, 2007)"
75-01-4,Chloroethylene; Vinyl chloride,Oxidizing gases - Classification not possible,,,,"No data available Those containing stabilizers are classified into Division 2.1 (UN Recommendations on the Transport of Dangerous Goods, UN#1086)","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
7783-55-3,phosphorous trifluoride,Oxidizing gases - Classification not possible,-,-,-,No data available,"Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
7784-36-3,pentafluoroarsorane,Oxidizing gases - Classification not possible,-,-,-,No data available,"Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
10028-15-6,ozone,Gases under pressure - Classification not possible,-,-,-,Classification not possible because of an unidentified state when transported,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
10049-04-4,Chlorine dioxide,Gases under pressure - Classification not possible,-,-,-,Classification not possible due to lack of data,"Sep. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
382-21-8,Perfluoroisobutylene,Gases under pressure - Classification not possible,-,-,-,No data available,"Nov. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
7803-52-3,Stibine,Gases under pressure - Classification not possible,,,,"No data available. The boiling point is -18degC (ICSC, 1999), while the substance decomposes gradually at room temperatures and rapidly at 200degC, according to ICSC (1999). The critical temperature appears to be above 65degC, which suggests that the substance can be classified as ""liquefied gas.""","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
102851-06-9,"alpha-cyano-3-phenoxybenzyl N-(2-chloro-alpha,alpha,alpha-trifluoro-p-tolyl)-D-valinate",Flammable liquids - Classification not possible,,,,"Classification not possible due to lack of data. The reagent (purity: 98%) has flash point of 90degC according to some reports, that is classifiable as Category 4. 
","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
1067-97-6,tributyltin hydroxide,Flammable liquids - Classification not possible,-,-,-,No data available,"Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
107-22-2,Glyoxal,Flammable liquids - Classification not possible,,,,"No data available.
Flash point of 40% solution: <=100degC, according to ICSC (2003)","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
107-41-5,"2,4-Pentanediol, 2-methyl-",Flammable liquids - Classification not possible,-,-,-,"The available data is obtained with open cup and is close to the boundary value of Category. Therefore, if the flash point is not measured by the method defined by UNRTDG about the real sample, it cannot be judged. The acceptance criteria are as follows:
Category 4: 60-degC< flash point <=93 degC; out of Category: flash point >93 degC.   ","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
